seed,split,model_family,train_n,test_n,accuracy,balanced_accuracy,macro_f1,shared_groups,shared_test_samples
20260812,hash_group_stratified_80_20,pixel_logistic_sgd,5736,1433,0.4277739009071877,0.4102060341181262,0.41259569528202356,0,0
20260812,hash_group_stratified_80_20,metadata_logistic_sgd,5736,1433,0.625261688764829,0.6082422100241548,0.5529244533926293,0,0
20260812,hash_group_stratified_80_20,hog_metadata_logistic_sgd,5736,1433,0.7976273551988835,0.7174075723819389,0.7166520083445383,0,0
20260812,hash_group_stratified_80_20,hog_extra_trees,5736,1433,0.845778087927425,0.707683856605977,0.6947446331593191,0,0
20260813,random_stratified_80_20,hog_logistic_sgd,5735,1434,0.799860529986053,0.7620274440942711,0.762278299562053,79,79
20260813,random_stratified_80_20,pixel_logistic_sgd,5735,1434,0.4686192468619247,0.4821612357173454,0.4735932388148683,79,79
20260813,random_stratified_80_20,metadata_logistic_sgd,5735,1434,0.6827057182705718,0.6385692439355397,0.6350031850398751,79,79
20260813,random_stratified_80_20,hog_metadata_logistic_sgd,5735,1434,0.8152022315202232,0.7839675849837453,0.7851860465379638,79,79
20260813,random_stratified_80_20,hog_extra_trees,5735,1434,0.8591352859135286,0.8082325685466012,0.8337042338632237,79,79
20260813,hash_group_stratified_80_20,hog_logistic_sgd,5739,1430,0.7832167832167832,0.6823370420416707,0.6932864015146856,0,0
20260813,hash_group_stratified_80_20,pixel_logistic_sgd,5739,1430,0.413986013986014,0.4133118735751295,0.40481072632560416,0,0
20260813,hash_group_stratified_80_20,metadata_logistic_sgd,5739,1430,0.7041958041958042,0.6783619686263436,0.6414827975379521,0,0
20260813,hash_group_stratified_80_20,hog_metadata_logistic_sgd,5739,1430,0.8160839160839161,0.7344106686995716,0.7382018364847037,0,0
20260813,hash_group_stratified_80_20,hog_extra_trees,5739,1430,0.8342657342657342,0.6995148339900409,0.6865155274304413,0,0
20260814,random_stratified_80_20,hog_logistic_sgd,5735,1434,0.7705718270571827,0.7131145921066724,0.7200944810603573,78,78
20260814,random_stratified_80_20,pixel_logistic_sgd,5735,1434,0.4490934449093445,0.4666682502625428,0.4513640475221662,78,78
20260814,random_stratified_80_20,metadata_logistic_sgd,5735,1434,0.6694560669456067,0.6191972631918331,0.6209786109495605,78,78
20260814,random_stratified_80_20,hog_metadata_logistic_sgd,5735,1434,0.795676429567643,0.7552687147181377,0.7618097483732779,78,78
20260814,random_stratified_80_20,hog_extra_trees,5735,1434,0.8361227336122734,0.7622546260322357,0.7877692548840337,78,78
20260814,hash_group_stratified_80_20,hog_logistic_sgd,5731,1438,0.7482614742698191,0.6548675795832194,0.6655546498833196,0,0
20260814,hash_group_stratified_80_20,pixel_logistic_sgd,5731,1438,0.3949930458970793,0.38783753670602317,0.38909753156003973,0,0
20260814,hash_group_stratified_80_20,metadata_logistic_sgd,5731,1438,0.6738525730180807,0.6228439758052317,0.6218249583023061,0,0
20260814,hash_group_stratified_80_20,hog_metadata_logistic_sgd,5731,1438,0.7767732962447844,0.6981438124201065,0.7034518418138708,0,0
20260814,hash_group_stratified_80_20,hog_extra_trees,5731,1438,0.8282336578581363,0.6981275355901652,0.6828038598857711,0,0
20260815,random_stratified_80_20,hog_logistic_sgd,5735,1434,0.7782426778242678,0.7174058624893674,0.7301718195495333,80,80
20260815,random_stratified_80_20,pixel_logistic_sgd,5735,1434,0.4630404463040446,0.5075955720450988,0.48047711141089644,80,80
20260815,random_stratified_80_20,metadata_logistic_sgd,5735,1434,0.6603905160390516,0.5878749876581221,0.5862569537251545,80,80
20260815,random_stratified_80_20,hog_metadata_logistic_sgd,5735,1434,0.8200836820083682,0.7795199105364218,0.7912903020956097,80,80
20260815,random_stratified_80_20,hog_extra_trees,5735,1434,0.8458856345885635,0.7830561447791343,0.8078106729755881,80,80
20260815,hash_group_stratified_80_20,hog_logistic_sgd,5739,1430,0.7776223776223776,0.6770647785351266,0.6858116505653653,0,0
20260815,hash_group_stratified_80_20,pixel_logistic_sgd,5739,1430,0.41188811188811186,0.41390596250803346,0.41283489487860014,0,0
20260815,hash_group_stratified_80_20,metadata_logistic_sgd,5739,1430,0.6811188811188811,0.6224141086226498,0.6291130305160831,0,0
20260815,hash_group_stratified_80_20,hog_metadata_logistic_sgd,5739,1430,0.806993006993007,0.7201644846848918,0.7269423252260632,0,0
20260815,hash_group_stratified_80_20,hog_extra_trees,5739,1430,0.8405594405594405,0.7085715604780088,0.6928798806920801,0,0
