dataset,protocol,seed,model,train_n,test_n,shared_train_test_groups,accuracy,balanced_accuracy,macro_f1
zenodo_14637589,random_stratified_70_15_15,20260814,byte_signature_sgd_logistic,638,138,16,0.9130434782608695,0.9001460387002557,0.8984107369649538
zenodo_14637589,random_stratified_70_15_15,20260815,byte_signature_sgd_logistic,638,138,16,0.9057971014492754,0.8961299744432275,0.8890742531699979
zenodo_14637589,existing_fold_p2,20260811,byte_signature_sgd_logistic,444,210,0,0.8571428571428571,0.8678473601830112,0.8591336814571192
zenodo_14637589,existing_fold_p2,20260812,byte_signature_sgd_logistic,444,210,0,0.8523809523809524,0.8571917705135151,0.8533441527183706
zenodo_14637589,existing_fold_p2,20260813,byte_signature_sgd_logistic,444,210,0,0.8571428571428571,0.8758365440571508,0.8577993299241756
zenodo_14637589,existing_fold_p2,20260814,byte_signature_sgd_logistic,444,210,0,0.8761904761904762,0.879788493568519,0.8760009882135584
zenodo_14637589,existing_fold_p2,20260815,byte_signature_sgd_logistic,444,210,0,0.861904761904762,0.8628080288162462,0.8571605198636455
zenodo_14637589,source_group_holdout_70_15_15,20260811,byte_signature_sgd_logistic,433,210,0,0.8047619047619048,0.8433881664760299,0.8182940579100454
zenodo_14637589,source_group_holdout_70_15_15,20260812,byte_signature_sgd_logistic,433,210,0,0.8285714285714286,0.858137429012903,0.8376620984379605
zenodo_14637589,source_group_holdout_70_15_15,20260813,byte_signature_sgd_logistic,433,210,0,0.8095238095238095,0.8383488351092648,0.819757589154141
zenodo_14637589,source_group_holdout_70_15_15,20260814,byte_signature_sgd_logistic,433,210,0,0.7952380952380952,0.8296410009431502,0.8030640013819156
zenodo_14637589,source_group_holdout_70_15_15,20260815,byte_signature_sgd_logistic,433,210,0,0.7952380952380952,0.8177989484879498,0.8042064074345806
zenodo_14637589,provenance_size_holdout_p4,20260811,byte_signature_sgd_logistic,236,531,0,0.7080979284369114,0.5906662409535973,0.5443397398163694
zenodo_14637589,provenance_size_holdout_p4,20260812,byte_signature_sgd_logistic,236,531,0,0.7344632768361582,0.6266283524904215,0.5960056772100568
zenodo_14637589,provenance_size_holdout_p4,20260813,byte_signature_sgd_logistic,236,531,0,0.7080979284369114,0.6012452107279693,0.5527640941434044
zenodo_14637589,provenance_size_holdout_p4,20260814,byte_signature_sgd_logistic,236,531,0,0.7175141242937854,0.6163793103448275,0.5616066537178147
zenodo_14637589,provenance_size_holdout_p4,20260815,byte_signature_sgd_logistic,236,531,0,0.7382297551789078,0.6376117496807151,0.6123696994545703
zenodo_14637589,datasail_like_group_balance,20260811,byte_signature_sgd_logistic,433,210,0,0.8047619047619048,0.8433881664760299,0.8182940579100454
zenodo_14637589,datasail_like_group_balance,20260812,byte_signature_sgd_logistic,433,210,0,0.8285714285714286,0.858137429012903,0.8376620984379605
zenodo_14637589,datasail_like_group_balance,20260813,byte_signature_sgd_logistic,433,210,0,0.8095238095238095,0.8383488351092648,0.819757589154141
zenodo_14637589,datasail_like_group_balance,20260814,byte_signature_sgd_logistic,433,210,0,0.7952380952380952,0.8296410009431502,0.8030640013819156
zenodo_14637589,datasail_like_group_balance,20260815,byte_signature_sgd_logistic,433,210,0,0.7952380952380952,0.8177989484879498,0.8042064074345806
deepmask_gpr,random_stratified_70_15_15,20260811,hog_sgd_logistic,1766,379,216,0.8865435356200527,0.8766858579842499,0.8790729105174769
deepmask_gpr,random_stratified_70_15_15,20260812,hog_sgd_logistic,1766,379,216,0.8918205804749341,0.8817814836873801,0.8843343172167429
deepmask_gpr,random_stratified_70_15_15,20260813,hog_sgd_logistic,1766,379,216,0.9023746701846965,0.8943261966709507,0.8959395099916532
deepmask_gpr,random_stratified_70_15_15,20260814,hog_sgd_logistic,1766,379,216,0.8891820580474934,0.879233670835815,0.8819218642866206
deepmask_gpr,random_stratified_70_15_15,20260815,hog_sgd_logistic,1766,379,216,0.8891820580474934,0.8803269838284414,0.8818387649003226
deepmask_gpr,existing_fold_p2,20260811,hog_sgd_logistic,1746,512,0,0.779296875,0.7642397147605481,0.7634429648711846
deepmask_gpr,existing_fold_p2,20260812,hog_sgd_logistic,1746,512,0,0.775390625,0.7625561745353412,0.7609901740879899
deepmask_gpr,existing_fold_p2,20260813,hog_sgd_logistic,1746,512,0,0.779296875,0.7678730413105413,0.7662137902131146
deepmask_gpr,existing_fold_p2,20260814,hog_sgd_logistic,1746,512,0,0.783203125,0.767604251458418,0.76683190135904
deepmask_gpr,existing_fold_p2,20260815,hog_sgd_logistic,1746,512,0,0.783203125,0.7683362162528828,0.7667015805237919
deepmask_gpr,source_group_holdout_70_15_15,20260811,hog_sgd_logistic,1740,392,0,0.7806122448979592,0.7579212454212455,0.7580267628277594
deepmask_gpr,source_group_holdout_70_15_15,20260812,hog_sgd_logistic,1740,392,0,0.7908163265306123,0.7680479242979242,0.7681433123754532
deepmask_gpr,source_group_holdout_70_15_15,20260813,hog_sgd_logistic,1740,392,0,0.7857142857142857,0.76377442002442,0.7639025453783072
deepmask_gpr,source_group_holdout_70_15_15,20260814,hog_sgd_logistic,1740,392,0,0.7704081632653061,0.752045177045177,0.7510998604110238
deepmask_gpr,source_group_holdout_70_15_15,20260815,hog_sgd_logistic,1740,392,0,0.7831632653061225,0.7587225274725274,0.7588645051570264
deepmask_gpr,provenance_size_holdout_p4,20260811,hog_sgd_logistic,1746,512,0,0.779296875,0.7642397147605481,0.7634429648711846
deepmask_gpr,provenance_size_holdout_p4,20260812,hog_sgd_logistic,1746,512,0,0.775390625,0.7625561745353412,0.7609901740879899
deepmask_gpr,provenance_size_holdout_p4,20260813,hog_sgd_logistic,1746,512,0,0.779296875,0.7678730413105413,0.7662137902131146
deepmask_gpr,provenance_size_holdout_p4,20260814,hog_sgd_logistic,1746,512,0,0.783203125,0.767604251458418,0.76683190135904
deepmask_gpr,provenance_size_holdout_p4,20260815,hog_sgd_logistic,1746,512,0,0.783203125,0.7683362162528828,0.7667015805237919
deepmask_gpr,datasail_like_group_balance,20260811,hog_sgd_logistic,1740,392,0,0.7806122448979592,0.7579212454212455,0.7580267628277594
deepmask_gpr,datasail_like_group_balance,20260812,hog_sgd_logistic,1740,392,0,0.7908163265306123,0.7680479242979242,0.7681433123754532
deepmask_gpr,datasail_like_group_balance,20260813,hog_sgd_logistic,1740,392,0,0.7857142857142857,0.76377442002442,0.7639025453783072
deepmask_gpr,datasail_like_group_balance,20260814,hog_sgd_logistic,1740,392,0,0.7704081632653061,0.752045177045177,0.7510998604110238
deepmask_gpr,datasail_like_group_balance,20260815,hog_sgd_logistic,1740,392,0,0.7831632653061225,0.7587225274725274,0.7588645051570264
