dataset,protocol,model_family,feature_family,train_n,test_n,shared_train_test_groups,test_label_counts,accuracy,balanced_accuracy,macro_f1
tigpr,source_group_holdout_70_15_15,pixel32_extra_trees,pixel32,5019,1075,0,"{""Crack"": 184, ""Interlayer_bonding_deficiency"": 303, ""Loose"": 315, ""No_damage"": 228, ""Void"": 45}",0.9162790697674419,0.7690672297043368,0.7497011634358421
tigpr,source_group_holdout_70_15_15,image_metadata_extra_trees,image_metadata,5019,1075,0,"{""Crack"": 184, ""Interlayer_bonding_deficiency"": 303, ""Loose"": 315, ""No_damage"": 228, ""Void"": 45}",0.7944186046511628,0.7450131624800269,0.7322030911561496
tigpr,provenance_size_holdout_p4,hog_sgd_logistic,hog,5016,1436,0,"{""Crack"": 244, ""Interlayer_bonding_deficiency"": 404, ""Loose"": 420, ""No_damage"": 304, ""Void"": 64}",0.7493036211699164,0.6570969299567699,0.666441906116341
tigpr,provenance_size_holdout_p4,hog_extra_trees,hog,5016,1436,0,"{""Crack"": 244, ""Interlayer_bonding_deficiency"": 404, ""Loose"": 420, ""No_damage"": 304, ""Void"": 64}",0.8370473537604457,0.7094528176471042,0.6918437530229948
tigpr,provenance_size_holdout_p4,pixel32_sgd_logistic,pixel32,5016,1436,0,"{""Crack"": 244, ""Interlayer_bonding_deficiency"": 404, ""Loose"": 420, ""No_damage"": 304, ""Void"": 64}",0.38440111420612816,0.41191342155909166,0.3955034672184137
tigpr,provenance_size_holdout_p4,pixel32_extra_trees,pixel32,5016,1436,0,"{""Crack"": 244, ""Interlayer_bonding_deficiency"": 404, ""Loose"": 420, ""No_damage"": 304, ""Void"": 64}",0.9143454038997214,0.7739442660986178,0.7603753721424893
tigpr,provenance_size_holdout_p4,image_metadata_extra_trees,image_metadata,5016,1436,0,"{""Crack"": 244, ""Interlayer_bonding_deficiency"": 404, ""Loose"": 420, ""No_damage"": 304, ""Void"": 64}",0.7270194986072424,0.6748582160847664,0.6577100821927665
tigpr,datasail_like_group_balance,hog_sgd_logistic,hog,5019,1075,0,"{""Crack"": 184, ""Interlayer_bonding_deficiency"": 303, ""Loose"": 315, ""No_damage"": 228, ""Void"": 45}",0.772093023255814,0.6959187554911098,0.7045461015580872
tigpr,datasail_like_group_balance,hog_extra_trees,hog,5019,1075,0,"{""Crack"": 184, ""Interlayer_bonding_deficiency"": 303, ""Loose"": 315, ""No_damage"": 228, ""Void"": 45}",0.8372093023255814,0.7121985675193867,0.7001655154804652
tigpr,datasail_like_group_balance,pixel32_sgd_logistic,pixel32,5019,1075,0,"{""Crack"": 184, ""Interlayer_bonding_deficiency"": 303, ""Loose"": 315, ""No_damage"": 228, ""Void"": 45}",0.4372093023255814,0.4687277312235964,0.4548400952781281
tigpr,datasail_like_group_balance,pixel32_extra_trees,pixel32,5019,1075,0,"{""Crack"": 184, ""Interlayer_bonding_deficiency"": 303, ""Loose"": 315, ""No_damage"": 228, ""Void"": 45}",0.9162790697674419,0.7690672297043368,0.7497011634358421
tigpr,datasail_like_group_balance,image_metadata_extra_trees,image_metadata,5019,1075,0,"{""Crack"": 184, ""Interlayer_bonding_deficiency"": 303, ""Loose"": 315, ""No_damage"": 228, ""Void"": 45}",0.7944186046511628,0.7450131624800269,0.7322030911561496
zenodo_14637589,random_stratified_70_15_15,byte_signature_sgd_logistic,byte_signature,638,138,16,"{""pipe"": 83, ""rebar"": 33, ""tunnel"": 22}",0.9057971014492754,0.8961299744432275,0.8901253336035945
zenodo_14637589,random_stratified_70_15_15,byte_signature_extra_trees,byte_signature,638,138,16,"{""pipe"": 83, ""rebar"": 33, ""tunnel"": 22}",0.9492753623188406,0.938481197517342,0.9424207229085279
zenodo_14637589,random_stratified_70_15_15,head_hist_sgd_logistic,head_hist,638,138,16,"{""pipe"": 83, ""rebar"": 33, ""tunnel"": 22}",0.8043478260869565,0.8632104174272849,0.7952342251192827
zenodo_14637589,random_stratified_70_15_15,tail_hist_extra_trees,tail_hist,638,138,16,"{""pipe"": 83, ""rebar"": 33, ""tunnel"": 22}",0.9420289855072463,0.9233296823658269,0.9315547905909352
zenodo_14637589,random_stratified_70_15_15,raw_file_metadata_extra_trees,raw_file_metadata,638,138,16,"{""pipe"": 83, ""rebar"": 33, ""tunnel"": 22}",0.9782608695652174,0.9818668613849337,0.9764309764309765
zenodo_14637589,existing_fold_p2,byte_signature_sgd_logistic,byte_signature,444,210,0,"{""pipe"": 113, ""rebar"": 49, ""tunnel"": 48}",0.8571428571428571,0.8678473601830112,0.8591336814571192
zenodo_14637589,existing_fold_p2,byte_signature_extra_trees,byte_signature,444,210,0,"{""pipe"": 113, ""rebar"": 49, ""tunnel"": 48}",0.9047619047619048,0.8623866213151928,0.8960546089267899
zenodo_14637589,existing_fold_p2,head_hist_sgd_logistic,head_hist,444,210,0,"{""pipe"": 113, ""rebar"": 49, ""tunnel"": 48}",0.5333333333333333,0.6240254951538137,0.5437124468107853
zenodo_14637589,existing_fold_p2,tail_hist_extra_trees,tail_hist,444,210,0,"{""pipe"": 113, ""rebar"": 49, ""tunnel"": 48}",0.861904761904762,0.8275653181626632,0.8509149909564847
zenodo_14637589,existing_fold_p2,raw_file_metadata_extra_trees,raw_file_metadata,444,210,0,"{""pipe"": 113, ""rebar"": 49, ""tunnel"": 48}",0.861904761904762,0.8332605903718421,0.8362648348428379
zenodo_14637589,source_group_holdout_70_15_15,byte_signature_sgd_logistic,byte_signature,433,210,0,"{""pipe"": 113, ""rebar"": 49, ""tunnel"": 48}",0.8047619047619048,0.8433881664760299,0.8182940579100454
zenodo_14637589,source_group_holdout_70_15_15,byte_signature_extra_trees,byte_signature,433,210,0,"{""pipe"": 113, ""rebar"": 49, ""tunnel"": 48}",0.9238095238095239,0.8895975056689344,0.9169030306515212
zenodo_14637589,source_group_holdout_70_15_15,head_hist_sgd_logistic,head_hist,433,210,0,"{""pipe"": 113, ""rebar"": 49, ""tunnel"": 48}",0.6428571428571429,0.6567711155258563,0.6405119908641036
zenodo_14637589,source_group_holdout_70_15_15,tail_hist_extra_trees,tail_hist,433,210,0,"{""pipe"": 113, ""rebar"": 49, ""tunnel"": 48}",0.8857142857142857,0.8541566331547368,0.8767457180500658
zenodo_14637589,source_group_holdout_70_15_15,raw_file_metadata_extra_trees,raw_file_metadata,433,210,0,"{""pipe"": 113, ""rebar"": 49, ""tunnel"": 48}",0.8904761904761904,0.8625183111592719,0.8701729278473466
zenodo_14637589,provenance_size_holdout_p4,byte_signature_sgd_logistic,byte_signature,236,531,0,"{""pipe"": 348, ""rebar"": 135, ""tunnel"": 48}",0.7080979284369114,0.5906662409535973,0.5443397398163694
zenodo_14637589,provenance_size_holdout_p4,byte_signature_extra_trees,byte_signature,236,531,0,"{""pipe"": 348, ""rebar"": 135, ""tunnel"": 48}",0.7005649717514124,0.6528043848446147,0.5523383346494691
zenodo_14637589,provenance_size_holdout_p4,head_hist_sgd_logistic,head_hist,236,531,0,"{""pipe"": 348, ""rebar"": 135, ""tunnel"": 48}",0.615819209039548,0.5380374627501064,0.5216626830743744
zenodo_14637589,provenance_size_holdout_p4,tail_hist_extra_trees,tail_hist,236,531,0,"{""pipe"": 348, ""rebar"": 135, ""tunnel"": 48}",0.615819209039548,0.5572158365261813,0.4251411431533419
zenodo_14637589,provenance_size_holdout_p4,raw_file_metadata_extra_trees,raw_file_metadata,236,531,0,"{""pipe"": 348, ""rebar"": 135, ""tunnel"": 48}",0.3954802259887006,0.5112920391656024,0.5244273245867589
zenodo_14637589,datasail_like_group_balance,byte_signature_sgd_logistic,byte_signature,433,210,0,"{""pipe"": 113, ""rebar"": 49, ""tunnel"": 48}",0.8047619047619048,0.8433881664760299,0.8182940579100454
zenodo_14637589,datasail_like_group_balance,byte_signature_extra_trees,byte_signature,433,210,0,"{""pipe"": 113, ""rebar"": 49, ""tunnel"": 48}",0.9238095238095239,0.8895975056689344,0.9169030306515212
zenodo_14637589,datasail_like_group_balance,head_hist_sgd_logistic,head_hist,433,210,0,"{""pipe"": 113, ""rebar"": 49, ""tunnel"": 48}",0.6428571428571429,0.6567711155258563,0.6405119908641036
zenodo_14637589,datasail_like_group_balance,tail_hist_extra_trees,tail_hist,433,210,0,"{""pipe"": 113, ""rebar"": 49, ""tunnel"": 48}",0.8857142857142857,0.8541566331547368,0.8767457180500658
zenodo_14637589,datasail_like_group_balance,raw_file_metadata_extra_trees,raw_file_metadata,433,210,0,"{""pipe"": 113, ""rebar"": 49, ""tunnel"": 48}",0.8904761904761904,0.8625183111592719,0.8701729278473466
deepmask_gpr,random_stratified_70_15_15,hog_sgd_logistic,hog,1766,379,216,"{""cavity"": 95, ""intact"": 146, ""utility"": 138}",0.8865435356200527,0.8766858579842499,0.8790729105174769
deepmask_gpr,random_stratified_70_15_15,hog_extra_trees,hog,1766,379,216,"{""cavity"": 95, ""intact"": 146, ""utility"": 138}",0.8812664907651715,0.8763260643170364,0.8755691148090604
deepmask_gpr,random_stratified_70_15_15,pixel32_sgd_logistic,pixel32,1766,379,216,"{""cavity"": 95, ""intact"": 146, ""utility"": 138}",0.8548812664907651,0.8415375345252151,0.8527569894674395
deepmask_gpr,random_stratified_70_15_15,pixel32_extra_trees,pixel32,1766,379,216,"{""cavity"": 95, ""intact"": 146, ""utility"": 138}",0.9683377308707124,0.9611746758199847,0.9653812461499198
deepmask_gpr,random_stratified_70_15_15,image_metadata_extra_trees,image_metadata,1766,379,216,"{""cavity"": 95, ""intact"": 146, ""utility"": 138}",0.941952506596306,0.9421529802270218,0.9419888451404952
deepmask_gpr,existing_fold_p2,hog_sgd_logistic,hog,1746,512,0,"{""cavity"": 128, ""intact"": 195, ""utility"": 189}",0.779296875,0.7642397147605481,0.7634429648711846
deepmask_gpr,existing_fold_p2,hog_extra_trees,hog,1746,512,0,"{""cavity"": 128, ""intact"": 195, ""utility"": 189}",0.75,0.742205518247185,0.7381310352072482
deepmask_gpr,existing_fold_p2,pixel32_sgd_logistic,pixel32,1746,512,0,"{""cavity"": 128, ""intact"": 195, ""utility"": 189}",0.7578125,0.728272961606295,0.7357300844161765
deepmask_gpr,existing_fold_p2,pixel32_extra_trees,pixel32,1746,512,0,"{""cavity"": 128, ""intact"": 195, ""utility"": 189}",0.892578125,0.8803047839506174,0.8812797853445029
deepmask_gpr,existing_fold_p2,image_metadata_extra_trees,image_metadata,1746,512,0,"{""cavity"": 128, ""intact"": 195, ""utility"": 189}",0.9296875,0.9273987586487586,0.9286922890983805
deepmask_gpr,source_group_holdout_70_15_15,hog_sgd_logistic,hog,1740,392,0,"{""cavity"": 96, ""intact"": 156, ""utility"": 140}",0.7806122448979592,0.7579212454212455,0.7580267628277594
deepmask_gpr,source_group_holdout_70_15_15,hog_extra_trees,hog,1740,392,0,"{""cavity"": 96, ""intact"": 156, ""utility"": 140}",0.7551020408163265,0.740934065934066,0.7392027854439195
deepmask_gpr,source_group_holdout_70_15_15,pixel32_sgd_logistic,pixel32,1740,392,0,"{""cavity"": 96, ""intact"": 156, ""utility"": 140}",0.7857142857142857,0.7453373015873016,0.7490901212705724
deepmask_gpr,source_group_holdout_70_15_15,pixel32_extra_trees,pixel32,1740,392,0,"{""cavity"": 96, ""intact"": 156, ""utility"": 140}",0.8877551020408163,0.8646825396825397,0.8706854464557159
deepmask_gpr,source_group_holdout_70_15_15,image_metadata_extra_trees,image_metadata,1740,392,0,"{""cavity"": 96, ""intact"": 156, ""utility"": 140}",0.9209183673469388,0.9162698412698412,0.9191414663006713
deepmask_gpr,provenance_size_holdout_p4,hog_sgd_logistic,hog,1746,512,0,"{""cavity"": 128, ""intact"": 195, ""utility"": 189}",0.779296875,0.7642397147605481,0.7634429648711846
deepmask_gpr,provenance_size_holdout_p4,hog_extra_trees,hog,1746,512,0,"{""cavity"": 128, ""intact"": 195, ""utility"": 189}",0.75,0.742205518247185,0.7381310352072482
deepmask_gpr,provenance_size_holdout_p4,pixel32_sgd_logistic,pixel32,1746,512,0,"{""cavity"": 128, ""intact"": 195, ""utility"": 189}",0.7578125,0.728272961606295,0.7357300844161765
deepmask_gpr,provenance_size_holdout_p4,pixel32_extra_trees,pixel32,1746,512,0,"{""cavity"": 128, ""intact"": 195, ""utility"": 189}",0.892578125,0.8803047839506174,0.8812797853445029
deepmask_gpr,provenance_size_holdout_p4,image_metadata_extra_trees,image_metadata,1746,512,0,"{""cavity"": 128, ""intact"": 195, ""utility"": 189}",0.9296875,0.9273987586487586,0.9286922890983805
deepmask_gpr,datasail_like_group_balance,hog_sgd_logistic,hog,1740,392,0,"{""cavity"": 96, ""intact"": 156, ""utility"": 140}",0.7806122448979592,0.7579212454212455,0.7580267628277594
deepmask_gpr,datasail_like_group_balance,hog_extra_trees,hog,1740,392,0,"{""cavity"": 96, ""intact"": 156, ""utility"": 140}",0.7551020408163265,0.740934065934066,0.7392027854439195
deepmask_gpr,datasail_like_group_balance,pixel32_sgd_logistic,pixel32,1740,392,0,"{""cavity"": 96, ""intact"": 156, ""utility"": 140}",0.7857142857142857,0.7453373015873016,0.7490901212705724
deepmask_gpr,datasail_like_group_balance,pixel32_extra_trees,pixel32,1740,392,0,"{""cavity"": 96, ""intact"": 156, ""utility"": 140}",0.8877551020408163,0.8646825396825397,0.8706854464557159
deepmask_gpr,datasail_like_group_balance,image_metadata_extra_trees,image_metadata,1740,392,0,"{""cavity"": 96, ""intact"": 156, ""utility"": 140}",0.9209183673469388,0.9162698412698412,0.9191414663006713
