dataset,protocol,seed,feature,model,train_n,test_n,train_label_counts,test_label_counts,train_groups,test_groups,shared_train_test_base_groups,shared_test_samples,accuracy,balanced_accuracy,macro_f1
deepmask_gpr,train_augmented_test_original,20260811,pixel32,pixel32_extra_trees,2239,285,"{""cavity"": 553, ""intact"": 900, ""utility"": 786}","{""cavity"": 79, ""intact"": 75, ""utility"": 131}",285,285,285,285,1.0,1.0,1.0
deepmask_gpr,train_augmented_test_original,20260811,metadata,metadata_extra_trees,2239,285,"{""cavity"": 553, ""intact"": 900, ""utility"": 786}","{""cavity"": 79, ""intact"": 75, ""utility"": 131}",285,285,285,285,0.5719298245614035,0.5572519083969466,0.45170785209060793
deepmask_gpr,random_stratified_80_20,20260812,hog64,hog64_sgd,2019,505,"{""intact"": 780, ""utility"": 733, ""cavity"": 506}","{""utility"": 184, ""cavity"": 126, ""intact"": 195}",285,237,237,505,0.8732673267326733,0.864963900833466,0.8651078651078651
deepmask_gpr,random_stratified_80_20,20260812,pixel32,pixel32_extra_trees,2019,505,"{""intact"": 780, ""utility"": 733, ""cavity"": 506}","{""utility"": 184, ""cavity"": 126, ""intact"": 195}",285,237,237,505,0.9683168316831683,0.9626754083275822,0.9654517414666278
deepmask_gpr,random_stratified_80_20,20260812,metadata,metadata_extra_trees,2019,505,"{""intact"": 780, ""utility"": 733, ""cavity"": 506}","{""utility"": 184, ""cavity"": 126, ""intact"": 195}",285,237,237,505,0.8534653465346534,0.8633748296791776,0.8639488930271053
deepmask_gpr,base_source_group_holdout_80_20,20260812,hog64,hog64_sgd,2018,506,"{""cavity"": 496, ""intact"": 780, ""utility"": 742}","{""cavity"": 136, ""intact"": 195, ""utility"": 175}",228,57,0,0,0.8201581027667985,0.8105990088343029,0.8100851535111299
deepmask_gpr,base_source_group_holdout_80_20,20260812,pixel32,pixel32_extra_trees,2018,506,"{""cavity"": 496, ""intact"": 780, ""utility"": 742}","{""cavity"": 136, ""intact"": 195, ""utility"": 175}",228,57,0,0,0.9466403162055336,0.9371008403361345,0.9404811568799779
deepmask_gpr,base_source_group_holdout_80_20,20260812,metadata,metadata_extra_trees,2018,506,"{""cavity"": 496, ""intact"": 780, ""utility"": 742}","{""cavity"": 136, ""intact"": 195, ""utility"": 175}",228,57,0,0,0.8596837944664032,0.8644588091646915,0.8683445201843646
deepmask_gpr,train_original_test_augmented,20260812,hog64,hog64_sgd,285,2239,"{""cavity"": 79, ""intact"": 75, ""utility"": 131}","{""cavity"": 553, ""intact"": 900, ""utility"": 786}",285,285,285,2239,0.8173291648057168,0.8173597275201295,0.8094371774447221
deepmask_gpr,train_original_test_augmented,20260812,pixel32,pixel32_extra_trees,285,2239,"{""cavity"": 79, ""intact"": 75, ""utility"": 131}","{""cavity"": 553, ""intact"": 900, ""utility"": 786}",285,285,285,2239,0.9298794104510942,0.9066691871668198,0.915552935147624
deepmask_gpr,train_original_test_augmented,20260812,metadata,metadata_extra_trees,285,2239,"{""cavity"": 79, ""intact"": 75, ""utility"": 131}","{""cavity"": 553, ""intact"": 900, ""utility"": 786}",285,285,285,2239,0.38231353282715497,0.37058201058201057,0.308995698853018
deepmask_gpr,train_augmented_test_original,20260812,hog64,hog64_sgd,2239,285,"{""cavity"": 553, ""intact"": 900, ""utility"": 786}","{""cavity"": 79, ""intact"": 75, ""utility"": 131}",285,285,285,285,0.9789473684210527,0.9744585091420536,0.9766168855510352
deepmask_gpr,train_augmented_test_original,20260812,pixel32,pixel32_extra_trees,2239,285,"{""cavity"": 553, ""intact"": 900, ""utility"": 786}","{""cavity"": 79, ""intact"": 75, ""utility"": 131}",285,285,285,285,1.0,1.0,1.0
deepmask_gpr,train_augmented_test_original,20260812,metadata,metadata_extra_trees,2239,285,"{""cavity"": 553, ""intact"": 900, ""utility"": 786}","{""cavity"": 79, ""intact"": 75, ""utility"": 131}",285,285,285,285,0.5859649122807018,0.5674300254452925,0.46160453338687724
deepmask_gpr,random_stratified_80_20,20260813,hog64,hog64_sgd,2019,505,"{""cavity"": 506, ""intact"": 780, ""utility"": 733}","{""utility"": 184, ""intact"": 195, ""cavity"": 126}",285,231,231,505,0.8891089108910891,0.8782998000389305,0.8801260853877183
deepmask_gpr,random_stratified_80_20,20260813,pixel32,pixel32_extra_trees,2019,505,"{""cavity"": 506, ""intact"": 780, ""utility"": 733}","{""utility"": 184, ""intact"": 195, ""cavity"": 126}",285,231,231,505,0.9782178217821782,0.9717333793420749,0.9757990461802778
deepmask_gpr,random_stratified_80_20,20260813,metadata,metadata_extra_trees,2019,505,"{""cavity"": 506, ""intact"": 780, ""utility"": 733}","{""utility"": 184, ""intact"": 195, ""cavity"": 126}",285,231,231,505,0.8871287128712871,0.8941882996230822,0.8966328555771371
deepmask_gpr,base_source_group_holdout_80_20,20260813,hog64,hog64_sgd,2029,495,"{""cavity"": 488, ""intact"": 806, ""utility"": 735}","{""cavity"": 144, ""intact"": 169, ""utility"": 182}",228,57,0,0,0.7515151515151515,0.7453057981904135,0.7451764434609055
deepmask_gpr,base_source_group_holdout_80_20,20260813,pixel32,pixel32_extra_trees,2029,495,"{""cavity"": 488, ""intact"": 806, ""utility"": 735}","{""cavity"": 144, ""intact"": 169, ""utility"": 182}",228,57,0,0,0.9272727272727272,0.9185999185999186,0.9224561094338631
deepmask_gpr,base_source_group_holdout_80_20,20260813,metadata,metadata_extra_trees,2029,495,"{""cavity"": 488, ""intact"": 806, ""utility"": 735}","{""cavity"": 144, ""intact"": 169, ""utility"": 182}",228,57,0,0,0.8565656565656565,0.8649717447794371,0.8625016115699345
deepmask_gpr,train_original_test_augmented,20260813,hog64,hog64_sgd,285,2239,"{""cavity"": 79, ""intact"": 75, ""utility"": 131}","{""cavity"": 553, ""intact"": 900, ""utility"": 786}",285,285,285,2239,0.8101831174631532,0.8157957290559475,0.8040645661951137
deepmask_gpr,train_original_test_augmented,20260813,pixel32,pixel32_extra_trees,285,2239,"{""cavity"": 79, ""intact"": 75, ""utility"": 131}","{""cavity"": 553, ""intact"": 900, ""utility"": 786}",285,285,285,2239,0.9307726663689146,0.9082321017648103,0.9168627161316781
deepmask_gpr,train_original_test_augmented,20260813,metadata,metadata_extra_trees,285,2239,"{""cavity"": 79, ""intact"": 75, ""utility"": 131}","{""cavity"": 553, ""intact"": 900, ""utility"": 786}",285,285,285,2239,0.4041983028137561,0.3774074074074074,0.2601149748972423
deepmask_gpr,train_augmented_test_original,20260813,hog64,hog64_sgd,2239,285,"{""cavity"": 553, ""intact"": 900, ""utility"": 786}","{""cavity"": 79, ""intact"": 75, ""utility"": 131}",285,285,285,285,0.9719298245614035,0.9674695354355225,0.9697680394941504
deepmask_gpr,train_augmented_test_original,20260813,pixel32,pixel32_extra_trees,2239,285,"{""cavity"": 553, ""intact"": 900, ""utility"": 786}","{""cavity"": 79, ""intact"": 75, ""utility"": 131}",285,285,285,285,1.0,1.0,1.0
deepmask_gpr,train_augmented_test_original,20260813,metadata,metadata_extra_trees,2239,285,"{""cavity"": 553, ""intact"": 900, ""utility"": 786}","{""cavity"": 79, ""intact"": 75, ""utility"": 131}",285,285,285,285,0.5929824561403508,0.5725190839694657,0.46648844333054856
deepmask_gpr,random_stratified_80_20,20260814,hog64,hog64_sgd,2019,505,"{""cavity"": 506, ""intact"": 780, ""utility"": 733}","{""cavity"": 126, ""utility"": 184, ""intact"": 195}",285,251,251,505,0.8910891089108911,0.8792774857992249,0.8826790150124203
deepmask_gpr,random_stratified_80_20,20260814,pixel32,pixel32_extra_trees,2019,505,"{""cavity"": 506, ""intact"": 780, ""utility"": 733}","{""cavity"": 126, ""utility"": 184, ""intact"": 195}",285,251,251,505,0.9663366336633663,0.9566942719116632,0.9613998893545775
deepmask_gpr,random_stratified_80_20,20260814,metadata,metadata_extra_trees,2019,505,"{""cavity"": 506, ""intact"": 780, ""utility"": 733}","{""cavity"": 126, ""utility"": 184, ""intact"": 195}",285,251,251,505,0.8732673267326733,0.8812863867211692,0.8829908586706702
deepmask_gpr,base_source_group_holdout_80_20,20260814,hog64,hog64_sgd,2018,506,"{""cavity"": 496, ""intact"": 780, ""utility"": 742}","{""cavity"": 136, ""intact"": 195, ""utility"": 175}",228,57,0,0,0.849802371541502,0.8392063492063492,0.8403849662470352
deepmask_gpr,base_source_group_holdout_80_20,20260814,pixel32,pixel32_extra_trees,2018,506,"{""cavity"": 496, ""intact"": 780, ""utility"": 742}","{""cavity"": 136, ""intact"": 195, ""utility"": 175}",228,57,0,0,0.932806324110672,0.9193977591036414,0.9239005005680071
deepmask_gpr,base_source_group_holdout_80_20,20260814,metadata,metadata_extra_trees,2018,506,"{""cavity"": 496, ""intact"": 780, ""utility"": 742}","{""cavity"": 136, ""intact"": 195, ""utility"": 175}",228,57,0,0,0.8735177865612648,0.8784539969834088,0.8804602584528235
deepmask_gpr,train_original_test_augmented,20260814,hog64,hog64_sgd,285,2239,"{""cavity"": 79, ""intact"": 75, ""utility"": 131}","{""cavity"": 553, ""intact"": 900, ""utility"": 786}",285,285,285,2239,0.8088432335864225,0.810696465829329,0.8013709745772587
deepmask_gpr,train_original_test_augmented,20260814,pixel32,pixel32_extra_trees,285,2239,"{""cavity"": 79, ""intact"": 75, ""utility"": 131}","{""cavity"": 553, ""intact"": 900, ""utility"": 786}",285,285,285,2239,0.9285395265743636,0.9059154451443562,0.9147177700782807
deepmask_gpr,train_original_test_augmented,20260814,metadata,metadata_extra_trees,285,2239,"{""cavity"": 79, ""intact"": 75, ""utility"": 131}","{""cavity"": 553, ""intact"": 900, ""utility"": 786}",285,285,285,2239,0.4046449307726664,0.37801018016207893,0.2613179931800463
deepmask_gpr,train_augmented_test_original,20260814,hog64,hog64_sgd,2239,285,"{""cavity"": 553, ""intact"": 900, ""utility"": 786}","{""cavity"": 79, ""intact"": 75, ""utility"": 131}",285,285,285,285,0.9824561403508771,0.9805778336071117,0.9810590655468551
deepmask_gpr,train_augmented_test_original,20260814,pixel32,pixel32_extra_trees,2239,285,"{""cavity"": 553, ""intact"": 900, ""utility"": 786}","{""cavity"": 79, ""intact"": 75, ""utility"": 131}",285,285,285,285,1.0,1.0,1.0
deepmask_gpr,train_augmented_test_original,20260814,metadata,metadata_extra_trees,2239,285,"{""cavity"": 553, ""intact"": 900, ""utility"": 786}","{""cavity"": 79, ""intact"": 75, ""utility"": 131}",285,285,285,285,0.5789473684210527,0.5623409669211196,0.45667839785486847
deepmask_gpr,random_stratified_80_20,20260815,hog64,hog64_sgd,2019,505,"{""utility"": 733, ""cavity"": 506, ""intact"": 780}","{""cavity"": 126, ""intact"": 195, ""utility"": 184}",285,235,235,505,0.8930693069306931,0.8899554953902781,0.8876962969837384
deepmask_gpr,random_stratified_80_20,20260815,pixel32,pixel32_extra_trees,2019,505,"{""utility"": 733, ""cavity"": 506, ""intact"": 780}","{""cavity"": 126, ""intact"": 195, ""utility"": 184}",285,235,235,505,0.9722772277227723,0.9662985967333793,0.969469774450353
deepmask_gpr,random_stratified_80_20,20260815,metadata,metadata_extra_trees,2019,505,"{""utility"": 733, ""cavity"": 506, ""intact"": 780}","{""cavity"": 126, ""intact"": 195, ""utility"": 184}",285,235,235,505,0.8534653465346534,0.8632562686910513,0.8634507518551279
deepmask_gpr,base_source_group_holdout_80_20,20260815,hog64,hog64_sgd,2013,511,"{""cavity"": 504, ""intact"": 767, ""utility"": 742}","{""cavity"": 128, ""intact"": 208, ""utility"": 175}",228,57,0,0,0.7906066536203522,0.7742582417582416,0.7765201682105496
deepmask_gpr,base_source_group_holdout_80_20,20260815,pixel32,pixel32_extra_trees,2013,511,"{""cavity"": 504, ""intact"": 767, ""utility"": 742}","{""cavity"": 128, ""intact"": 208, ""utility"": 175}",228,57,0,0,0.9334637964774951,0.9226488095238095,0.9266230833364034
deepmask_gpr,base_source_group_holdout_80_20,20260815,metadata,metadata_extra_trees,2013,511,"{""cavity"": 504, ""intact"": 767, ""utility"": 742}","{""cavity"": 128, ""intact"": 208, ""utility"": 175}",228,57,0,0,0.8786692759295499,0.8856776556776556,0.8887858587982613
deepmask_gpr,train_original_test_augmented,20260815,hog64,hog64_sgd,285,2239,"{""cavity"": 79, ""intact"": 75, ""utility"": 131}","{""cavity"": 553, ""intact"": 900, ""utility"": 786}",285,285,285,2239,0.8142027690933452,0.8212557458967741,0.8084965899688625
deepmask_gpr,train_original_test_augmented,20260815,pixel32,pixel32_extra_trees,285,2239,"{""cavity"": 79, ""intact"": 75, ""utility"": 131}","{""cavity"": 553, ""intact"": 900, ""utility"": 786}",285,285,285,2239,0.9271996426976329,0.9029988327988135,0.9121319758980736
deepmask_gpr,train_original_test_augmented,20260815,metadata,metadata_extra_trees,285,2239,"{""cavity"": 79, ""intact"": 75, ""utility"": 131}","{""cavity"": 553, ""intact"": 900, ""utility"": 786}",285,285,285,2239,0.40598481464939706,0.3788888888888889,0.2624172723022653
deepmask_gpr,train_augmented_test_original,20260815,hog64,hog64_sgd,2239,285,"{""cavity"": 553, ""intact"": 900, ""utility"": 786}","{""cavity"": 79, ""intact"": 75, ""utility"": 131}",285,285,285,285,0.9824561403508771,0.9786779184247538,0.9809458898800395
deepmask_gpr,train_augmented_test_original,20260815,pixel32,pixel32_extra_trees,2239,285,"{""cavity"": 553, ""intact"": 900, ""utility"": 786}","{""cavity"": 79, ""intact"": 75, ""utility"": 131}",285,285,285,285,1.0,1.0,1.0
deepmask_gpr,train_augmented_test_original,20260815,metadata,metadata_extra_trees,2239,285,"{""cavity"": 553, ""intact"": 900, ""utility"": 786}","{""cavity"": 79, ""intact"": 75, ""utility"": 131}",285,285,285,285,0.5894736842105263,0.5699745547073791,0.4640516318887105
