seed,protocol,method,metric,value
20260811,task_aware_fold0_test_fold3_val,delta_coral_minus_baseline,macro_f1,-0.00518820378781959
20260812,current_fold0_test_fold1_val,baseline_source_only,accuracy,0.8668941979522184
20260812,current_fold0_test_fold1_val,baseline_source_only,balanced_accuracy,0.8566422877929859
20260812,current_fold0_test_fold1_val,baseline_source_only,macro_f1,0.857873240491165
20260812,current_fold0_test_fold1_val,mean_std_unlabeled_target,accuracy,0.8771331058020477
20260812,current_fold0_test_fold1_val,mean_std_unlabeled_target,balanced_accuracy,0.868995078371583
20260812,current_fold0_test_fold1_val,mean_std_unlabeled_target,macro_f1,0.8702434920662793
20260812,current_fold0_test_fold1_val,coral_unlabeled_target,accuracy,0.8481228668941979
20260812,current_fold0_test_fold1_val,coral_unlabeled_target,balanced_accuracy,0.8381565673934475
20260812,current_fold0_test_fold1_val,coral_unlabeled_target,macro_f1,0.8387975133461927
20260812,current_fold0_test_fold1_val,delta_mean_std_minus_baseline,accuracy,0.010238907849829282
20260812,current_fold0_test_fold1_val,delta_mean_std_minus_baseline,balanced_accuracy,0.012352790578597062
20260812,current_fold0_test_fold1_val,delta_mean_std_minus_baseline,macro_f1,0.012370251575114288
20260812,current_fold0_test_fold1_val,delta_coral_minus_baseline,accuracy,-0.018771331058020535
20260812,current_fold0_test_fold1_val,delta_coral_minus_baseline,balanced_accuracy,-0.01848572039953844
20260812,current_fold0_test_fold1_val,delta_coral_minus_baseline,macro_f1,-0.0190757271449723
20260812,task_aware_fold0_test_fold3_val,baseline_source_only,accuracy,0.8856655290102389
20260812,task_aware_fold0_test_fold3_val,baseline_source_only,balanced_accuracy,0.8744354265538666
20260812,task_aware_fold0_test_fold3_val,baseline_source_only,macro_f1,0.8778974775085558
20260812,task_aware_fold0_test_fold3_val,mean_std_unlabeled_target,accuracy,0.8907849829351536
20260812,task_aware_fold0_test_fold3_val,mean_std_unlabeled_target,balanced_accuracy,0.8828314265844357
20260812,task_aware_fold0_test_fold3_val,mean_std_unlabeled_target,macro_f1,0.8854455155691365
20260812,task_aware_fold0_test_fold3_val,coral_unlabeled_target,accuracy,0.878839590443686
20260812,task_aware_fold0_test_fold3_val,coral_unlabeled_target,balanced_accuracy,0.869838595043217
20260812,task_aware_fold0_test_fold3_val,coral_unlabeled_target,macro_f1,0.8727092737207363
20260812,task_aware_fold0_test_fold3_val,delta_mean_std_minus_baseline,accuracy,0.005119453924914752
20260812,task_aware_fold0_test_fold3_val,delta_mean_std_minus_baseline,balanced_accuracy,0.008396000030569062
20260812,task_aware_fold0_test_fold3_val,delta_mean_std_minus_baseline,macro_f1,0.007548038060580686
20260812,task_aware_fold0_test_fold3_val,delta_coral_minus_baseline,accuracy,-0.0068259385665528916
20260812,task_aware_fold0_test_fold3_val,delta_coral_minus_baseline,balanced_accuracy,-0.004596831510649602
20260812,task_aware_fold0_test_fold3_val,delta_coral_minus_baseline,macro_f1,-0.00518820378781959
20260813,current_fold0_test_fold1_val,baseline_source_only,accuracy,0.8668941979522184
20260813,current_fold0_test_fold1_val,baseline_source_only,balanced_accuracy,0.8566422877929859
20260813,current_fold0_test_fold1_val,baseline_source_only,macro_f1,0.857873240491165
20260813,current_fold0_test_fold1_val,mean_std_unlabeled_target,accuracy,0.8771331058020477
20260813,current_fold0_test_fold1_val,mean_std_unlabeled_target,balanced_accuracy,0.868995078371583
20260813,current_fold0_test_fold1_val,mean_std_unlabeled_target,macro_f1,0.8702434920662793
20260813,current_fold0_test_fold1_val,coral_unlabeled_target,accuracy,0.8481228668941979
20260813,current_fold0_test_fold1_val,coral_unlabeled_target,balanced_accuracy,0.8381565673934475
20260813,current_fold0_test_fold1_val,coral_unlabeled_target,macro_f1,0.8387975133461927
20260813,current_fold0_test_fold1_val,delta_mean_std_minus_baseline,accuracy,0.010238907849829282
20260813,current_fold0_test_fold1_val,delta_mean_std_minus_baseline,balanced_accuracy,0.012352790578597062
20260813,current_fold0_test_fold1_val,delta_mean_std_minus_baseline,macro_f1,0.012370251575114288
20260813,current_fold0_test_fold1_val,delta_coral_minus_baseline,accuracy,-0.018771331058020535
20260813,current_fold0_test_fold1_val,delta_coral_minus_baseline,balanced_accuracy,-0.01848572039953844
20260813,current_fold0_test_fold1_val,delta_coral_minus_baseline,macro_f1,-0.0190757271449723
20260813,task_aware_fold0_test_fold3_val,baseline_source_only,accuracy,0.8856655290102389
20260813,task_aware_fold0_test_fold3_val,baseline_source_only,balanced_accuracy,0.8744354265538666
20260813,task_aware_fold0_test_fold3_val,baseline_source_only,macro_f1,0.8778974775085558
20260813,task_aware_fold0_test_fold3_val,mean_std_unlabeled_target,accuracy,0.8907849829351536
20260813,task_aware_fold0_test_fold3_val,mean_std_unlabeled_target,balanced_accuracy,0.8828314265844357
20260813,task_aware_fold0_test_fold3_val,mean_std_unlabeled_target,macro_f1,0.8854455155691365
20260813,task_aware_fold0_test_fold3_val,coral_unlabeled_target,accuracy,0.878839590443686
20260813,task_aware_fold0_test_fold3_val,coral_unlabeled_target,balanced_accuracy,0.869838595043217
20260813,task_aware_fold0_test_fold3_val,coral_unlabeled_target,macro_f1,0.8727092737207363
20260813,task_aware_fold0_test_fold3_val,delta_mean_std_minus_baseline,accuracy,0.005119453924914752
20260813,task_aware_fold0_test_fold3_val,delta_mean_std_minus_baseline,balanced_accuracy,0.008396000030569062
20260813,task_aware_fold0_test_fold3_val,delta_mean_std_minus_baseline,macro_f1,0.007548038060580686
20260813,task_aware_fold0_test_fold3_val,delta_coral_minus_baseline,accuracy,-0.0068259385665528916
20260813,task_aware_fold0_test_fold3_val,delta_coral_minus_baseline,balanced_accuracy,-0.004596831510649602
20260813,task_aware_fold0_test_fold3_val,delta_coral_minus_baseline,macro_f1,-0.00518820378781959
20260814,current_fold0_test_fold1_val,baseline_source_only,accuracy,0.8668941979522184
20260814,current_fold0_test_fold1_val,baseline_source_only,balanced_accuracy,0.8566422877929859
20260814,current_fold0_test_fold1_val,baseline_source_only,macro_f1,0.857873240491165
20260814,current_fold0_test_fold1_val,mean_std_unlabeled_target,accuracy,0.8771331058020477
20260814,current_fold0_test_fold1_val,mean_std_unlabeled_target,balanced_accuracy,0.868995078371583
20260814,current_fold0_test_fold1_val,mean_std_unlabeled_target,macro_f1,0.8702434920662793
20260814,current_fold0_test_fold1_val,coral_unlabeled_target,accuracy,0.8481228668941979
20260814,current_fold0_test_fold1_val,coral_unlabeled_target,balanced_accuracy,0.8381565673934475
20260814,current_fold0_test_fold1_val,coral_unlabeled_target,macro_f1,0.8387975133461927
20260814,current_fold0_test_fold1_val,delta_mean_std_minus_baseline,accuracy,0.010238907849829282
20260814,current_fold0_test_fold1_val,delta_mean_std_minus_baseline,balanced_accuracy,0.012352790578597062
20260814,current_fold0_test_fold1_val,delta_mean_std_minus_baseline,macro_f1,0.012370251575114288
20260814,current_fold0_test_fold1_val,delta_coral_minus_baseline,accuracy,-0.018771331058020535
20260814,current_fold0_test_fold1_val,delta_coral_minus_baseline,balanced_accuracy,-0.01848572039953844
20260814,current_fold0_test_fold1_val,delta_coral_minus_baseline,macro_f1,-0.0190757271449723
20260814,task_aware_fold0_test_fold3_val,baseline_source_only,accuracy,0.8856655290102389
20260814,task_aware_fold0_test_fold3_val,baseline_source_only,balanced_accuracy,0.8744354265538666
20260814,task_aware_fold0_test_fold3_val,baseline_source_only,macro_f1,0.8778974775085558
20260814,task_aware_fold0_test_fold3_val,mean_std_unlabeled_target,accuracy,0.8907849829351536
20260814,task_aware_fold0_test_fold3_val,mean_std_unlabeled_target,balanced_accuracy,0.8828314265844357
20260814,task_aware_fold0_test_fold3_val,mean_std_unlabeled_target,macro_f1,0.8854455155691365
20260814,task_aware_fold0_test_fold3_val,coral_unlabeled_target,accuracy,0.878839590443686
20260814,task_aware_fold0_test_fold3_val,coral_unlabeled_target,balanced_accuracy,0.869838595043217
20260814,task_aware_fold0_test_fold3_val,coral_unlabeled_target,macro_f1,0.8727092737207363
20260814,task_aware_fold0_test_fold3_val,delta_mean_std_minus_baseline,accuracy,0.005119453924914752
20260814,task_aware_fold0_test_fold3_val,delta_mean_std_minus_baseline,balanced_accuracy,0.008396000030569062
20260814,task_aware_fold0_test_fold3_val,delta_mean_std_minus_baseline,macro_f1,0.007548038060580686
20260814,task_aware_fold0_test_fold3_val,delta_coral_minus_baseline,accuracy,-0.0068259385665528916
20260814,task_aware_fold0_test_fold3_val,delta_coral_minus_baseline,balanced_accuracy,-0.004596831510649602
20260814,task_aware_fold0_test_fold3_val,delta_coral_minus_baseline,macro_f1,-0.00518820378781959
20260815,current_fold0_test_fold1_val,baseline_source_only,accuracy,0.8668941979522184
20260815,current_fold0_test_fold1_val,baseline_source_only,balanced_accuracy,0.8566422877929859
20260815,current_fold0_test_fold1_val,baseline_source_only,macro_f1,0.857873240491165
20260815,current_fold0_test_fold1_val,mean_std_unlabeled_target,accuracy,0.8771331058020477
20260815,current_fold0_test_fold1_val,mean_std_unlabeled_target,balanced_accuracy,0.868995078371583
20260815,current_fold0_test_fold1_val,mean_std_unlabeled_target,macro_f1,0.8702434920662793
20260815,current_fold0_test_fold1_val,coral_unlabeled_target,accuracy,0.8481228668941979
20260815,current_fold0_test_fold1_val,coral_unlabeled_target,balanced_accuracy,0.8381565673934475
20260815,current_fold0_test_fold1_val,coral_unlabeled_target,macro_f1,0.8387975133461927
20260815,current_fold0_test_fold1_val,delta_mean_std_minus_baseline,accuracy,0.010238907849829282
20260815,current_fold0_test_fold1_val,delta_mean_std_minus_baseline,balanced_accuracy,0.012352790578597062
20260815,current_fold0_test_fold1_val,delta_mean_std_minus_baseline,macro_f1,0.012370251575114288
20260815,current_fold0_test_fold1_val,delta_coral_minus_baseline,accuracy,-0.018771331058020535
20260815,current_fold0_test_fold1_val,delta_coral_minus_baseline,balanced_accuracy,-0.01848572039953844
20260815,current_fold0_test_fold1_val,delta_coral_minus_baseline,macro_f1,-0.0190757271449723
20260815,task_aware_fold0_test_fold3_val,baseline_source_only,accuracy,0.8856655290102389
20260815,task_aware_fold0_test_fold3_val,baseline_source_only,balanced_accuracy,0.8744354265538666
20260815,task_aware_fold0_test_fold3_val,baseline_source_only,macro_f1,0.8778974775085558
20260815,task_aware_fold0_test_fold3_val,mean_std_unlabeled_target,accuracy,0.8907849829351536
20260815,task_aware_fold0_test_fold3_val,mean_std_unlabeled_target,balanced_accuracy,0.8828314265844357
20260815,task_aware_fold0_test_fold3_val,mean_std_unlabeled_target,macro_f1,0.8854455155691365
20260815,task_aware_fold0_test_fold3_val,coral_unlabeled_target,accuracy,0.878839590443686
20260815,task_aware_fold0_test_fold3_val,coral_unlabeled_target,balanced_accuracy,0.869838595043217
20260815,task_aware_fold0_test_fold3_val,coral_unlabeled_target,macro_f1,0.8727092737207363
20260815,task_aware_fold0_test_fold3_val,delta_mean_std_minus_baseline,accuracy,0.005119453924914752
20260815,task_aware_fold0_test_fold3_val,delta_mean_std_minus_baseline,balanced_accuracy,0.008396000030569062
20260815,task_aware_fold0_test_fold3_val,delta_mean_std_minus_baseline,macro_f1,0.007548038060580686
20260815,task_aware_fold0_test_fold3_val,delta_coral_minus_baseline,accuracy,-0.0068259385665528916
20260815,task_aware_fold0_test_fold3_val,delta_coral_minus_baseline,balanced_accuracy,-0.004596831510649602
20260815,task_aware_fold0_test_fold3_val,delta_coral_minus_baseline,macro_f1,-0.00518820378781959
