source_group,n,accuracy,balanced_accuracy,macro_f1
sha256:55229577c4c480b84700522b5a4f8b6e0f8d67c0518c8889ac342d9e221b8445,1,0.0,0.0,0.0
sha256:554c8ef05bb722760e0a9e265108a720c144042ae4c631a986174285f1c2e2c8,1,1.0,1.0,1.0
sha256:55a1b0faa5f7864019ef11fd8adeff5b1cf72805ef05e480389254680071ea16,1,0.0,0.0,0.0
sha256:56c1d58989da5abbf5e92bfbc583d373076ceb23dd4547d451bb236fc1dd5687,1,1.0,1.0,1.0
sha256:5895648dd52423cb4cc01372119271afd4f557d91b017cccd45fc8be7d4a70e0,1,1.0,1.0,1.0
sha256:5a205ce584c7b67fe6a71b5a140135d48f0d34332ca41631fc5760b5c3672edb,1,1.0,1.0,1.0
sha256:5b073f4c0812e3c76037c278336c670ccdd12cb57f769d94f220ca88f662fd6e,1,1.0,1.0,1.0
sha256:5e429c1ae8d0fe1e346a68c30c929d21c6f68ce43ace4eb91fd0bcf5a54dd41b,1,1.0,1.0,1.0
sha256:6098faf71da2fe4b0abb4fe508d4f13156d1f2c69a159ffa98b8064edb9017d1,1,1.0,1.0,1.0
sha256:60acd0db0fd3933b6277111f3255b79cb14b2ac46d13bc3b80f1594c55cbae4a,1,1.0,1.0,1.0
sha256:618974f731aa5d62c5ab5ac4c76a5f76fc35f1e2858db8bb2fb8985560747fa0,1,1.0,1.0,1.0
sha256:62f9088f4fe115364bee181d05b0c7c8bde283e851e657ea1b34dd5576445d50,1,0.0,0.0,0.0
sha256:6473921fbc72b64c39bf43f2df117dce4b02c324930c073138d11edce639de2b,1,1.0,1.0,1.0
sha256:652757e44a59fef5e7f1baa1b14be01f3101eb2aee67fd6f36ca891571a42aa9,1,1.0,1.0,1.0
sha256:6abb378ebbeab349bfae90a102318e0a9095a43b548009c1e540d52329d31350,1,0.0,0.0,0.0
sha256:6b710fe0a35654a0e28580723e37ab5a9dad389136d2888506acb56b8fdf2325,1,0.0,0.0,0.0
sha256:6c849b73865cf2ffdc3d0dbf7513a5f3c2811838e1ac21898ba4eab2586b05bb,1,1.0,1.0,1.0
sha256:70a60d93e9c16a3a520dd442d8256c21de42b8242878a84d17870277d08af768,1,1.0,1.0,1.0
sha256:7305bdb57787a1321826e21c78d7557be13674845859873442c2dce73e6f45c1,1,1.0,1.0,1.0
sha256:76b6ffe2b3450217bc1aa148ae659bf1a1dd0aeca36cab2c1706f144400f7a07,1,0.0,0.0,0.0
sha256:7710a4acc3fa6ab7ce19bb5ff71cdb1dc6617889d8b64a5c7227b25305ae8651,1,1.0,1.0,1.0
sha256:7740c8cd9089c36a50b7a5c425dd49f2ded34e44467dfbc20f88670a7b0828f9,1,1.0,1.0,1.0
sha256:77858e33d93cf6e21f457f84917e0ec155acf10aa86006833bb2860faa7d8e0f,1,0.0,0.0,0.0
sha256:79195edf2e8b7be41b6a2e9045cd4769f7bbe63f471d040884dddb07e9507fdf,1,1.0,1.0,1.0
sha256:7a79575b4f791023a2d24dcb9bbaf9c0762bc928355e54932b0e7ccb02051da0,1,0.0,0.0,0.0
sha256:7bf8871e48155db7aa6a0578c666864e5f6b8f3dfe84a9131df6fe6889d0ba02,1,1.0,1.0,1.0
sha256:7c153f8393676243243f73729ddd1b1889b0d349e701e45b4051ce1298ea94ca,1,1.0,1.0,1.0
sha256:7d9031ab22e67e8e624f2750d0ffdb964adde9a3e80602d062737f6b00f73e86,1,1.0,1.0,1.0
sha256:7f26258021b6ccad1f496f16eaac8315d154ed87944e939bc373a7279914673b,1,1.0,1.0,1.0
sha256:7fcfdce3d6f77cd19e8f7236c164cac7dce4a23958f0970158452f880df4383a,1,1.0,1.0,1.0
sha256:7fddbfac55e17c3ca7ec32f23be58702bb23cd4f94b7359bfabec1870a542fe1,1,1.0,1.0,1.0
sha256:801b9c218a90a936d25eb1162bc6219ef111bdf3b61aa8df2cf47037e499839f,1,1.0,1.0,1.0
sha256:8050ec1403e52bddde32c3af8048f197613d19b5fb5b5105587f091457b2436b,1,1.0,1.0,1.0
sha256:8229b0f69b70c0e9556fe19189740e4bc961f390f529517167ac6e59eea5b2fe,1,1.0,1.0,1.0
sha256:82e773ed1cec66a1bb3b33c301cc049d0fc8f7afa00b1a92dc44708c3dc9a1ed,1,1.0,1.0,1.0
sha256:833b1b83dfd159603733f0453943093ab518a1d051314b84abcc48d00da1a54b,1,0.0,0.0,0.0
sha256:84291075341b6e22966b7546f951cf9d0f0e4157c0edcf34c638b23aa1913a82,1,1.0,1.0,1.0
sha256:8482484a82922c832990ec490a91623a56c130dcf149edd452cc790731b7b6ed,1,1.0,1.0,1.0
sha256:8482c3d6fc1c43af6f1b602d73dfe37035d5d91296d0d8bc95db36f9c1af9a95,1,1.0,1.0,1.0
sha256:85ab6a5974957d8e03c733c1586dd9ab916d2de277b80432226517c4377e4044,1,0.0,0.0,0.0
sha256:86aba620c0ce2d517be79872785fbb460f4a243a6f15cd8d5df6c7bd63bd941d,1,1.0,1.0,1.0
sha256:86da832332c2c67bb1725b18eff096d948bd53823b7067fa272d47c5372db8e2,1,1.0,1.0,1.0
sha256:872cc0fb841a08dc4c945fa6dbb47b12cf9fe5ed6fd719b85fcfef60e06619ef,1,1.0,1.0,1.0
sha256:8800f7466a1a93d7cd9c139cbaaee5470206cdc4c0a4586548f8e6a56e116d83,1,1.0,1.0,1.0
sha256:8898f83153879ba1cb489d6d2356eab611f7656fb90b113a12cbdb0ab9ed139e,1,1.0,1.0,1.0
sha256:88a1bc7cdaac2bbf70c112ee28227a61f738f7955f367e1b1b0633ab75637182,1,1.0,1.0,1.0
sha256:8955f1a9dddeadcb1f1c9ef6a1cdbe8e144679632fa1269e0ea0b24c6e0642be,1,1.0,1.0,1.0
sha256:89850a7159519ca4547367ec35818019206cacf93a88212a347c1fb43d241efc,1,1.0,1.0,1.0
sha256:89e2499a2460ed5b46c3f86dd97da18b29b25e296a6e44a8b6aee09157aa82f2,1,1.0,1.0,1.0
sha256:8aa2283364b8c62fad266a98f4524301aa3568c95a7460bb1990e9dc7af44cc1,1,1.0,1.0,1.0
sha256:8aa2547f30a6c096b1c4d0d6ec3e7f2a020f2ac7668c56f7181560d8383fb870,1,1.0,1.0,1.0
sha256:8b6f4aa961313c90028a2a535b6b424ca40481fd76c300c08cccbe22ed7d6530,1,1.0,1.0,1.0
sha256:8b7d3380982d1790fe03194f5f9af7a13212ea13a283edb2971e32893bf049f1,1,0.0,0.0,0.0
sha256:8bbd5a60a9eb2411dc087da52e405974e8093a23565924714cb8796a31ebcbcb,1,1.0,1.0,1.0
sha256:8de45aaf5e52749ec3244c4e5ab86235aebc321a73e0aca3ae7b3eb5d4ca6fd7,1,1.0,1.0,1.0
sha256:8ed29778112fdd2adf87b9b13dc45007c1135cacfc18e13d64d1179a78240f55,1,1.0,1.0,1.0
sha256:8efac051edfb6538027145caaa5df7c4ba440f531c40ddefa0dfcc1b6e875d90,1,1.0,1.0,1.0
sha256:8f6f23b9b0c8f691d2a71695c8d8ce63a61dc4f4b248deba2d7a4fe211bf54d5,1,0.0,0.0,0.0
sha256:8f7eba0a39051448fb99578be5297fe474d10f388e1194403a079a49e7a663cb,1,0.0,0.0,0.0
sha256:8fefb096942b409aafd8838a49b9850dd495458bcd5716168b821d41574816d7,1,1.0,1.0,1.0
sha256:8ff4f4ceae176423fc9984c90d2bafd91021fae646148ac6949cf797d30607a1,1,1.0,1.0,1.0
sha256:90479bb71fbc872491bbdeec8167f450c3cb7e8c7d453abb5d6d88fb49164148,1,1.0,1.0,1.0
sha256:93342e37809ff8a95cd330d71ce1cadfa0475452df640b0d990984c59f0e1f77,1,1.0,1.0,1.0
sha256:94b955a54768e785dbce6343c9d0a377131843dc62d322bf4317a79afdaddc0b,1,1.0,1.0,1.0
sha256:94bf9080c2c33faa621dd585a918b84fb315ce0a6b68fa90ebb7bcebbcb16275,1,1.0,1.0,1.0
sha256:961b7b3c840fb3c78eaf260ad4504677099d5b023503d6602bda90bcf65a4f9b,1,0.0,0.0,0.0
sha256:974cbfc761e4127a032077eb3beccdb649820aa4419ae63baddc7483ca3a4a50,1,1.0,1.0,1.0
sha256:975c5bda70ed5ceb3ef3da5f3fd8e00d06b9e833761efbc28441f1c0d48ef2eb,1,1.0,1.0,1.0
sha256:98685ea0f1793583d8aeb922117583ec72b23dcb66baa6e07514d5615a6d114d,1,0.0,0.0,0.0
sha256:99d7537864362c1618489bddef02651a5e00aff960c34c16fd61474370c4998d,1,1.0,1.0,1.0
sha256:99e0a1440e7c93fcf1d3a42b55b2d11879bb95434206cbc5800563443338bad4,1,1.0,1.0,1.0
sha256:9a2060bf9960be817003d07a22860733f63833a2075fd9e534ba0e18f5d3e521,1,1.0,1.0,1.0
sha256:9ccdad3b2d9cda208906a2498aa5a41e7a3b1f3756a38037701b67c456665d66,1,1.0,1.0,1.0
sha256:9de03ef2504a7649d333a172b383d6e7e817421286d7be7bebbbd430c57ac8cb,1,1.0,1.0,1.0
sha256:9e2a65c9df6dffc65e5ec4b1fca8b5a479964268ec7c072d8edd633576eab90f,1,1.0,1.0,1.0
sha256:9ec925d0983a0b9dc32c5f27be46532e267a068630adbca7d212ea5425e910f7,1,1.0,1.0,1.0
sha256:9f7ecfbc7b4958edd63805c669f59c2e6db9c869a33e2657593a3eaa7a76cbc5,1,1.0,1.0,1.0
sha256:a0a95929713cd63bba93b0088cfa620486e9a6f32287f6ae5101f4fb09a423c6,1,0.0,0.0,0.0
sha256:a3c077c417f844f94f57ba53b3556767da58b82b38ed8cb2c340eca1af314bba,1,1.0,1.0,1.0
sha256:a407f07a349661af57a07074c8ab44d40aa751c6c468e0fb00d3fbbc6257e831,1,1.0,1.0,1.0
sha256:a5fe3ce2caf3cd92e50dce20eab227c81797d558f17ad7efc878a5d990d3daf8,1,0.0,0.0,0.0
sha256:a632f73c82d9a61f77ae04a8e38941a29866632e9e70127e0e40b0818c01b71e,1,1.0,1.0,1.0
sha256:a74cb82319a8b5faa747aed78f7083b6e0ecdfa754b3c16ad7970bc927fb78df,1,1.0,1.0,1.0
sha256:a7899872365c74dc9e4ce8e134d0a316fa83778e22e3de52731fc3737142f9a3,1,0.0,0.0,0.0
sha256:a939d2b24614fdedde49ecb025c8c530e9c8fe3120355033e0a9870869653e94,1,1.0,1.0,1.0
sha256:a9cfba2353df5338b2f5222cfb1288826f429a72e85d8fc48202203f371c7bf1,1,0.0,0.0,0.0
sha256:ae515090c8f3128d904f4c32bdbe4dddd70ac9caa65e118797ddd2e5180aa2db,1,0.0,0.0,0.0
sha256:af2bf9df14f8a2b8442b2d9286bb3dc76a0215719bd44b6dd115015f759b5855,1,1.0,1.0,1.0
sha256:b18288fef560777319f2cd879f97f2e7252d51401bffb0518667967966a14f26,1,1.0,1.0,1.0
sha256:b29e94b8350bf8c375e1d06349f0e8da7cfd0858781dd948f90cfddccdd71d6a,1,1.0,1.0,1.0
sha256:b2e0c85e692b90dd796e7562c207da3e17bd13ffdd878b62cd3e96ee50a23dd8,1,1.0,1.0,1.0
sha256:b45ee6deb61a62fa939df7688cb1c1eeb0fd5a4df07a15c19162456fcd8e277b,1,1.0,1.0,1.0
sha256:b5961cd4d7cc0043211cad98dbaaaede40c8ebe2685f8fb79e42ef1092838fdb,1,1.0,1.0,1.0
sha256:b628a1e274c2dfad49217b89ba494a8453c29feecf1bbadd9a315f7edfcfa48f,1,1.0,1.0,1.0
sha256:b7acbc4589fb1155cd3a399722821bc6f865c4fe7aed29cf6cd02d485910ab5d,1,1.0,1.0,1.0
sha256:ba6ea8c7fb8d1adc861ff3bbf34c641d72ab7089f50867c0c372ac4fe586c4b4,1,1.0,1.0,1.0
sha256:bc9e9f43f2389a98e3974e4aecbebd49811df4dfeb0cb2b39727f492d2e9eccb,2,1.0,1.0,1.0
sha256:bdfa0d8dc74de96b3c075d0a42d4d3906309d9b0853718657dff3919f0761f48,1,1.0,1.0,1.0
sha256:be358e8ceab4e0611163c3e9cafdcd43150c318f93990795e286f1ea5d9f9bcb,1,1.0,1.0,1.0
sha256:bf08ac2b1852caa4ebf867611a80859e3f1c3375617bb4bce129160524425546,1,1.0,1.0,1.0
sha256:bfc1ceaf4b949c37186676b2522968e3f8ca3efd3653efed1f1ee3dacd271dbc,1,1.0,1.0,1.0
sha256:c0268f49280b0b94468b43254f45b3a3244a91110a97372a07a99aab2fa82723,1,1.0,1.0,1.0
sha256:c0778f5a5ca8aaacf132f7b67b907454a1694d7ab691e786499d9d634860de73,1,1.0,1.0,1.0
sha256:c080d70b0bd80516cf5e65bb52c8fa92eb89672c0cdd287bd0e9eab5007eec2f,1,0.0,0.0,0.0
sha256:c1d1fc3999476b65accb9f4f27fa5bd4866bae7e8031f95a1fdb5f83b614ffb4,1,1.0,1.0,1.0
sha256:c65edb01d10d584c2c7aa93b60afeb1ee11d9a6d3a059e190460bae3edff050c,1,0.0,0.0,0.0
sha256:c83816f00b0b65effa4bfcbe5ab15a442bb12649a6eded447b3c522aa1abb5a8,1,0.0,0.0,0.0
sha256:c94c0c5dec90a272299ec3d49d39adaa65b9cba7977afaeaea7eb714caf87748,1,1.0,1.0,1.0
sha256:cb0fad3979448dafe31186118b44362773faffcd77a8a2251a5bd742066444cb,1,1.0,1.0,1.0
sha256:cb9873214db64750c517d93f1072aec5a989956767101dfc217cf3db2836f42e,1,1.0,1.0,1.0
sha256:cbd4a8e33dbba5c5e44fc559d7499c6203d00032bf3e477964aa695648fdcccc,1,1.0,1.0,1.0
sha256:cd3911ba3982f4a37c8b4e9c5d3327af0f8f636f0eff57c1dc70d6b7ea9d32eb,1,1.0,1.0,1.0
sha256:d05d7d47df41957220d52c53baeee672e94df1cfb61d250d81083c0cb7016230,1,1.0,1.0,1.0
sha256:d0ef1eba75da56ea0ba38bf8cbd71ed71f2cab7bdae8cd79e1b18252c5fc3cdb,1,1.0,1.0,1.0
sha256:d331b26a91862614059a305213589c160d0b0f3f62a71585c1f788ff4b07cab9,1,1.0,1.0,1.0
sha256:d359811c199ea5c0176ed5c3aadbb9cafb6f566802f6c6f1d1217f01d1729f98,1,1.0,1.0,1.0
sha256:d411fcb0260ca78464f169455fc7790d3f4764eda44f654f5714c856f0ff5957,1,1.0,1.0,1.0
sha256:d47ffbe82ef35678059d86aaf252714845f9c7f06c4eccbee420a6e11903da47,1,1.0,1.0,1.0
sha256:d501c5278b0f19f85e8cc674817f2655dc5c22313167ae18bbdfb3de3482fee9,1,1.0,1.0,1.0
sha256:d5bc75676b4ddd99c498f7ae3c348551278d5bcd19b77b0383ea119aee11b011,1,1.0,1.0,1.0
sha256:d5bda760a16ada632fc07a64529eb5dce6bda9d2992aa0c6ce85d0ef9b922992,1,1.0,1.0,1.0
sha256:d696b2e4aff87cb3c46ffb255c689a9cd7e7d8d9d8721621f4beca956a950b48,1,1.0,1.0,1.0
sha256:d9595da55bdb0c782715e0f4325f5aa3731e30af55bd34f9433cda11d63bc4c6,1,1.0,1.0,1.0
sha256:da1a66cebd979d852713e43237adddbf43d19233bebd85558ba7751935fe8e2e,1,1.0,1.0,1.0
sha256:dbe9901596414627c260171925832f8d8b7c820f4b4d44916552ad0e76496542,1,0.0,0.0,0.0
sha256:ddcebe5f84b07b5237097a169ebb93c33d2d836d38c30d563eb5fc80dc0deaa0,1,1.0,1.0,1.0
sha256:dfa18cf53173f9ac8ccb21cc47eed11f2d8979f74740ac549a28a98580af0524,1,1.0,1.0,1.0
sha256:e0dce52be5685c39edd31c137c6754c8cb80465bc5570417a971b0e282d2d595,1,1.0,1.0,1.0
sha256:e217007cc3581f9a3fb0db4d9b305d28d25a077b7296eca00c5a49a03ad571ed,1,1.0,1.0,1.0
sha256:e24a91900e7b2ba5e7443e257a3eb93f0b53533a1b2f6a4801bd96a96b6493df,1,1.0,1.0,1.0
sha256:e34463370a19bb7a06988fd834c87636112333fc2dc18c10f3a479b60976dac5,1,1.0,1.0,1.0
sha256:e3ed8c768b29ddbb159306fdc6f313296bb7698873b059e188bb7c3dcab2b377,1,1.0,1.0,1.0
sha256:e4dfff7c4594a98ae8726d0d738e0188efa851c2da4a2cbcb281335320a8b2b1,1,0.0,0.0,0.0
sha256:e52151bd3cf13a7b4ea1f645bd3a696e99054a05b2da81bfba34a6e1ca3333be,1,1.0,1.0,1.0
sha256:e604c25f13ed19a8c82070461281a7b5cf5ce5baa99563b6421b36a8be1a4132,1,0.0,0.0,0.0
sha256:e7889f6e00d5cb9168b44ce10126945593e9905f61aee1cdd28f6b7c3de3967c,1,1.0,1.0,1.0
sha256:e81269031c658dae033d93c0ee48a3468b4f08b50d8eadac03e3aea9b0fbb0dd,1,1.0,1.0,1.0
sha256:e9567552d5b5b69048229d9950733a372de2dfb3b070b6cde29407f24b059f38,1,1.0,1.0,1.0
sha256:eb148bd15f9d1216df2af55ba436c61e5fbfb6f886d6ff10028260c8874578b7,1,1.0,1.0,1.0
sha256:eb26c78648d007e687499adb04c7409c12ea296b911d8bf3062002d2ee1b0f79,1,1.0,1.0,1.0
sha256:ec6cda766d4c5fd4492a2dddb061297c7481c4fb48d152521520ebfc1ebee57e,1,1.0,1.0,1.0
sha256:f0465cfd822d1ea135fc5a4df7d4227a4ac101fc14efa941a1ae5aabc248c468,1,1.0,1.0,1.0
sha256:f1e468c1f79d11285a2d24e240e017a12c372053bf6779bb603f5439f934d7b6,1,1.0,1.0,1.0
sha256:f204ae3a22b8cd73fdccf0a084bdbe3e15e985694a3b26215ae474d4cddd250d,1,1.0,1.0,1.0
sha256:f2b7a03871c7e995cbfc0b850213eac5b33bcf8bd8f019515631d3cb3a1945a7,1,1.0,1.0,1.0
sha256:f354939dd2ce1499ab1dadbaf0f94efcae175506e60d067fe78140f880537542,1,0.0,0.0,0.0
sha256:f37ed299b6209d3de3fbc87ca154d7ebd74f5ee0f61f78e4ac3218b7b54b6994,1,1.0,1.0,1.0
sha256:f4a827a2844b7c6bfc6c00bbe8f6943be7c4248616ec3525dc06274aef1659a9,1,1.0,1.0,1.0
sha256:f51ea8a23b92bde0016cc3ea7a28b58e78936763a397121203a86d21083a19bf,1,0.0,0.0,0.0
sha256:f66e5ec1b4a34592cea7dba14bf3f4391b36050e5e81dd7fe9504b7270b43221,1,1.0,1.0,1.0
