upload_order,source_relative_path,staged_relative_path,category,sha256,upload_decision,public_release_status
15,reports/figure4_sources_20260810/figure4_evidence_layer_boundary.csv,files/reports/figure4_sources_20260810/figure4_evidence_layer_boundary.csv,figure_table_source_data,3f197860d0b2e06c05fc67659838c94d9c116b941daf6ac3701a5662e4f32a80,queue_after_rights_and_licence_clearance,blocked_pending_licence_rights_and_identifier
16,reports/figure4_sources_20260810/figure4_source_summary.json,files/reports/figure4_sources_20260810/figure4_source_summary.json,figure_table_source_data,9253b25e45bb07ac72b64cfe9adf6062f516014fb3b2ea90a04e6858c33fdd2c,queue_after_rights_and_licence_clearance,blocked_pending_licence_rights_and_identifier
17,reports/figure4_sources_20260810/figure4_source_summary.md,files/reports/figure4_sources_20260810/figure4_source_summary.md,figure_table_source_data,60d0b064addddca149ecb274bfcfb6fba768e9d8bc5a5cf95be9a741b9e64c97,queue_after_rights_and_licence_clearance,blocked_pending_licence_rights_and_identifier
18,reports/figure5_figure6_sources_20260810/figure5_4tu_feasibility_source_data.csv,files/reports/figure5_figure6_sources_20260810/figure5_4tu_feasibility_source_data.csv,figure_table_source_data,eff53531692f80bd5dd98985540f37dc809860915c60d10eaa3c51ba4059774a,queue_after_rights_and_licence_clearance,blocked_pending_licence_rights_and_identifier
19,reports/figure5_figure6_sources_20260810/figure5_figure6_source_summary.json,files/reports/figure5_figure6_sources_20260810/figure5_figure6_source_summary.json,figure_table_source_data,90c3f592f9a7d9d331791d112dbf463eae522953498220136d0c3be3f469492e,queue_after_rights_and_licence_clearance,blocked_pending_licence_rights_and_identifier
20,reports/figure5_figure6_sources_20260810/figure5_figure6_source_summary.md,files/reports/figure5_figure6_sources_20260810/figure5_figure6_source_summary.md,figure_table_source_data,24c31e17dfec8c26299ee65255fb6d960436375358d268c28fa591f3b03dc53a,queue_after_rights_and_licence_clearance,blocked_pending_licence_rights_and_identifier
21,reports/figure5_figure6_sources_20260810/figure6_external_gate_source_data.csv,files/reports/figure5_figure6_sources_20260810/figure6_external_gate_source_data.csv,figure_table_source_data,184b6859b4b0e4978f0715a210556068f12031ca58a47dd6cfb9791810e6ca7b,queue_after_rights_and_licence_clearance,blocked_pending_licence_rights_and_identifier
22,reports/manuscript_figure_table_plan_20260810/figure_table_claim_evidence_map.csv,files/reports/manuscript_figure_table_plan_20260810/figure_table_claim_evidence_map.csv,claim_evidence_plan,c3505eaf151f4a9a9aa592bd84692706e15420d3290bcb435eb14bc29fcc08d9,queue_after_rights_and_licence_clearance,blocked_pending_licence_rights_and_identifier
23,reports/manuscript_figure_table_plan_20260810/figure_table_plan_summary.json,files/reports/manuscript_figure_table_plan_20260810/figure_table_plan_summary.json,claim_evidence_plan,bc1d586168aee160468ddc22470d685e59c42732f7ec4b616ecddd8c6a07e95a,queue_after_rights_and_licence_clearance,blocked_pending_licence_rights_and_identifier
24,reports/manuscript_figure_table_plan_20260810/figure_table_plan_summary.md,files/reports/manuscript_figure_table_plan_20260810/figure_table_plan_summary.md,claim_evidence_plan,a73a0641f998eac282a1abd08a83a0526968d197c477a9bdee10112f10df49e6,queue_after_rights_and_licence_clearance,blocked_pending_licence_rights_and_identifier
25,reports/methods_section_skeleton_20260810/methods_module_map.csv,files/reports/methods_section_skeleton_20260810/methods_module_map.csv,methods_skeleton,81e74c95545d29ed337f5e23da3244e3b5335e6bfdd82b768098c9313bab59d8,queue_after_rights_and_licence_clearance,blocked_pending_licence_rights_and_identifier
26,reports/methods_section_skeleton_20260810/methods_section_skeleton.json,files/reports/methods_section_skeleton_20260810/methods_section_skeleton.json,methods_skeleton,a2988eb7ed0cf27c9fe7c3ef7809c93f40a559f1667689803b1bf616be6a428d,queue_after_rights_and_licence_clearance,blocked_pending_licence_rights_and_identifier
27,reports/methods_section_skeleton_20260810/methods_section_skeleton.md,files/reports/methods_section_skeleton_20260810/methods_section_skeleton.md,methods_skeleton,07d8893f028676df035a804a9d52c011f8abdcce2e77d8680c773355ca26a29e,queue_after_rights_and_licence_clearance,blocked_pending_licence_rights_and_identifier
28,reports/results_section_skeleton_20260810/results_paragraph_claim_evidence_map.csv,files/reports/results_section_skeleton_20260810/results_paragraph_claim_evidence_map.csv,results_skeleton,a128e718897f3289d988aeb582bdc0f11bbe0d6b7db4d11fe2856973dd61f1c5,queue_after_rights_and_licence_clearance,blocked_pending_licence_rights_and_identifier
29,reports/results_section_skeleton_20260810/results_section_skeleton.json,files/reports/results_section_skeleton_20260810/results_section_skeleton.json,results_skeleton,17595f9621086708587686aa8fa08f56b2813d64d1859048f2b0b2e65f55b194,queue_after_rights_and_licence_clearance,blocked_pending_licence_rights_and_identifier
30,reports/results_section_skeleton_20260810/results_section_skeleton.md,files/reports/results_section_skeleton_20260810/results_section_skeleton.md,results_skeleton,d3477e1fa9e9e486a0e9ff988904ecfa57e49efacb3d906ee6c12e5896ef5e6f,queue_after_rights_and_licence_clearance,blocked_pending_licence_rights_and_identifier
31,reports/submission_package_skeleton_20260810/cover_letter_skeleton.md,files/reports/submission_package_skeleton_20260810/cover_letter_skeleton.md,submission_skeleton,0fe0182359b2a0abf0cc0d165342e07829840c39673c4cb2365bc4aa26168b43,queue_after_rights_and_licence_clearance,blocked_pending_licence_rights_and_identifier
32,reports/submission_package_skeleton_20260810/submission_claim_evidence_map.csv,files/reports/submission_package_skeleton_20260810/submission_claim_evidence_map.csv,submission_skeleton,138cf39dfe11e601885fbcdb645ab29a54c5b97ecd3b82bcf90489ecdcb6d77c,queue_after_rights_and_licence_clearance,blocked_pending_licence_rights_and_identifier
33,reports/submission_package_skeleton_20260810/submission_package_summary.json,files/reports/submission_package_skeleton_20260810/submission_package_summary.json,submission_skeleton,74eb9ed909b398a7d96c33bbed8d48dc847efab6c3259761f38e71c793a255a4,queue_after_rights_and_licence_clearance,blocked_pending_licence_rights_and_identifier
34,reports/submission_package_skeleton_20260810/terminology_ledger.csv,files/reports/submission_package_skeleton_20260810/terminology_ledger.csv,submission_skeleton,4c1425a5336fc9d99f1853450321cef6fb0a3924cec989e974a34f97d81235cc,queue_after_rights_and_licence_clearance,blocked_pending_licence_rights_and_identifier
35,reports/submission_package_skeleton_20260810/title_abstract_significance.md,files/reports/submission_package_skeleton_20260810/title_abstract_significance.md,submission_skeleton,98b295a225fde0f8a273fc191581b84d97d19da89df95d5f4c17153c54807e73,queue_after_rights_and_licence_clearance,blocked_pending_licence_rights_and_identifier
36,reports/submission_package_skeleton_20260810/title_candidates.csv,files/reports/submission_package_skeleton_20260810/title_candidates.csv,submission_skeleton,b674e6d3b15d0c0fa989e5f14a677a6ec2362eb755050b34a3115da5a9cb6728,queue_after_rights_and_licence_clearance,blocked_pending_licence_rights_and_identifier
37,scripts/run_m0_m2_checks.ps1,files/scripts/run_m0_m2_checks.ps1,reproducibility_script,79ef2bbbe4c07afb69e2e7e53eae2eb6dafa7e2a059afbf9916f4095717dc05b,queue_after_rights_and_licence_clearance,blocked_pending_licence_rights_and_identifier
