target_field,split_seed,model_seed,image_size,selected_model,model,variant,train_projects,val_projects,test_projects,val_balanced_accuracy,test_balanced_accuracy,balanced_accuracy_delta_vs_original,test_macro_f1,macro_f1_delta_vs_original,prediction_flip_rate_vs_original,n_predicted_classes_not_in_test,predicted_classes_not_in_test
Land type,20260811,20260810,64,dummy_majority,extra_trees,remove_top_band,010;011;02;07;08,06;09,04;05,0.16666666666666666,0.4583333333333333,-0.12500000000000006,0.34848484848484845,-0.1333078686019863,0.16666666666666666,0.0,
Land type,20260811,20260810,64,dummy_majority,extra_trees,remove_bottom_band,010;011;02;07;08,06;09,04;05,0.16666666666666666,0.5833333333333334,0.0,0.48179271708683474,0.0,0.0,0.0,
Land type,20260811,20260810,64,dummy_majority,extra_trees,remove_border,010;011;02;07;08,06;09,04;05,0.16666666666666666,0.4583333333333333,-0.12500000000000006,0.34848484848484845,-0.1333078686019863,0.16666666666666666,0.0,
Land type,20260811,20260810,64,dummy_majority,extra_trees,time_reverse,010;011;02;07;08,06;09,04;05,0.16666666666666666,0.3333333333333333,-0.25000000000000006,0.20512820512820515,-0.2766645119586296,0.6666666666666666,0.0,
Land type,20260811,20260810,64,dummy_majority,rbf_svm,original,010;011;02;07;08,06;09,04;05,0.2916666666666667,0.5833333333333334,0.0,0.47500000000000003,0.0,0.0,0.0,
Land type,20260811,20260810,64,dummy_majority,rbf_svm,log_clip,010;011;02;07;08,06;09,04;05,0.2916666666666667,0.3333333333333333,-0.25000000000000006,0.20512820512820515,-0.2698717948717949,0.6111111111111112,0.0,
Land type,20260811,20260810,64,dummy_majority,rbf_svm,zscore_clip,010;011;02;07;08,06;09,04;05,0.2916666666666667,0.6,0.016666666666666607,0.5029239766081871,0.027923976608187073,0.2222222222222222,0.0,
Land type,20260811,20260810,64,dummy_majority,rbf_svm,amplitude_jitter,010;011;02;07;08,06;09,04;05,0.2916666666666667,0.5833333333333334,0.0,0.47500000000000003,0.0,0.0,0.0,
Land type,20260811,20260810,64,dummy_majority,rbf_svm,remove_top_band,010;011;02;07;08,06;09,04;05,0.2916666666666667,0.5833333333333334,0.0,0.48179271708683474,0.00679271708683471,0.05555555555555555,0.0,
Land type,20260811,20260810,64,dummy_majority,rbf_svm,remove_bottom_band,010;011;02;07;08,06;09,04;05,0.2916666666666667,0.5833333333333334,0.0,0.48179271708683474,0.00679271708683471,0.05555555555555555,0.0,
Land type,20260811,20260810,64,dummy_majority,rbf_svm,remove_border,010;011;02;07;08,06;09,04;05,0.2916666666666667,0.6,0.016666666666666607,0.5014245014245015,0.026424501424501423,0.16666666666666666,0.0,
Land type,20260811,20260810,64,dummy_majority,rbf_svm,time_reverse,010;011;02;07;08,06;09,04;05,0.2916666666666667,0.3333333333333333,-0.25000000000000006,0.20512820512820515,-0.2698717948717949,0.6111111111111112,0.0,
Land type,20260812,20260810,64,extra_trees,dummy_majority,original,011;04;05;06;09,07;08,010;02,0.25,0.25,0.0,0.10256410256410256,0.0,0.0,0.0,
Land type,20260812,20260810,64,extra_trees,dummy_majority,log_clip,011;04;05;06;09,07;08,010;02,0.25,0.25,0.0,0.10256410256410256,0.0,0.0,0.0,
Land type,20260812,20260810,64,extra_trees,dummy_majority,zscore_clip,011;04;05;06;09,07;08,010;02,0.25,0.25,0.0,0.10256410256410256,0.0,0.0,0.0,
Land type,20260812,20260810,64,extra_trees,dummy_majority,amplitude_jitter,011;04;05;06;09,07;08,010;02,0.25,0.25,0.0,0.10256410256410256,0.0,0.0,0.0,
Land type,20260812,20260810,64,extra_trees,dummy_majority,remove_top_band,011;04;05;06;09,07;08,010;02,0.25,0.25,0.0,0.10256410256410256,0.0,0.0,0.0,
Land type,20260812,20260810,64,extra_trees,dummy_majority,remove_bottom_band,011;04;05;06;09,07;08,010;02,0.25,0.25,0.0,0.10256410256410256,0.0,0.0,0.0,
Land type,20260812,20260810,64,extra_trees,dummy_majority,remove_border,011;04;05;06;09,07;08,010;02,0.25,0.25,0.0,0.10256410256410256,0.0,0.0,0.0,
Land type,20260812,20260810,64,extra_trees,dummy_majority,time_reverse,011;04;05;06;09,07;08,010;02,0.25,0.25,0.0,0.10256410256410256,0.0,0.0,0.0,
Land type,20260812,20260810,64,extra_trees,extra_trees,original,011;04;05;06;09,07;08,010;02,0.3,0.26785714285714285,0.0,0.13859649122807016,0.0,0.0,0.0,
Land type,20260812,20260810,64,extra_trees,extra_trees,log_clip,011;04;05;06;09,07;08,010;02,0.3,0.2604166666666667,-0.007440476190476164,0.1527777777777778,0.014181286549707628,0.12903225806451613,0.0,
Land type,20260812,20260810,64,extra_trees,extra_trees,zscore_clip,011;04;05;06;09,07;08,010;02,0.3,0.25,-0.01785714285714285,0.10256410256410256,-0.0360323886639676,0.03225806451612903,0.0,
Land type,20260812,20260810,64,extra_trees,extra_trees,amplitude_jitter,011;04;05;06;09,07;08,010;02,0.3,0.26785714285714285,0.0,0.13859649122807016,0.0,0.0,0.0,
Land type,20260812,20260810,64,extra_trees,extra_trees,remove_top_band,011;04;05;06;09,07;08,010;02,0.3,0.26785714285714285,0.0,0.13859649122807016,0.0,0.06451612903225806,0.0,
Land type,20260812,20260810,64,extra_trees,extra_trees,remove_bottom_band,011;04;05;06;09,07;08,010;02,0.3,0.26785714285714285,0.0,0.13859649122807016,0.0,0.0,0.0,
Land type,20260812,20260810,64,extra_trees,extra_trees,remove_border,011;04;05;06;09,07;08,010;02,0.3,0.26785714285714285,0.0,0.14144144144144144,0.002844950213371278,0.0967741935483871,0.0,
Land type,20260812,20260810,64,extra_trees,extra_trees,time_reverse,011;04;05;06;09,07;08,010;02,0.3,0.25,-0.01785714285714285,0.10256410256410256,-0.0360323886639676,0.03225806451612903,0.0,
Land type,20260812,20260810,64,extra_trees,rbf_svm,original,011;04;05;06;09,07;08,010;02,0.25,0.30357142857142855,0.0,0.20252100840336135,0.0,0.0,0.0,
Land type,20260812,20260810,64,extra_trees,rbf_svm,log_clip,011;04;05;06;09,07;08,010;02,0.25,0.25,-0.05357142857142855,0.10256410256410256,-0.09995690583925879,0.12903225806451613,0.0,
Land type,20260812,20260810,64,extra_trees,rbf_svm,zscore_clip,011;04;05;06;09,07;08,010;02,0.25,0.25,-0.05357142857142855,0.10256410256410256,-0.09995690583925879,0.12903225806451613,0.0,
Land type,20260812,20260810,64,extra_trees,rbf_svm,amplitude_jitter,011;04;05;06;09,07;08,010;02,0.25,0.30357142857142855,0.0,0.20252100840336135,0.0,0.0,0.0,
Land type,20260812,20260810,64,extra_trees,rbf_svm,remove_top_band,011;04;05;06;09,07;08,010;02,0.25,0.26785714285714285,-0.0357142857142857,0.13859649122807016,-0.06392451717529118,0.0967741935483871,0.0,
Land type,20260812,20260810,64,extra_trees,rbf_svm,remove_bottom_band,011;04;05;06;09,07;08,010;02,0.25,0.30357142857142855,0.0,0.20252100840336135,0.0,0.0,0.0,
Land type,20260812,20260810,64,extra_trees,rbf_svm,remove_border,011;04;05;06;09,07;08,010;02,0.25,0.2857142857142857,-0.01785714285714285,0.17060810810810811,-0.03191290029525323,0.06451612903225806,0.0,
Land type,20260812,20260810,64,extra_trees,rbf_svm,time_reverse,011;04;05;06;09,07;08,010;02,0.25,0.25,-0.05357142857142855,0.10256410256410256,-0.09995690583925879,0.12903225806451613,0.0,
Land type,20260813,20260810,64,extra_trees,dummy_majority,original,02;04;05;08;09,010;06,011;07,0.25,0.25,0.0,0.19117647058823528,0.0,0.0,0.0,
Land type,20260813,20260810,64,extra_trees,dummy_majority,log_clip,02;04;05;08;09,010;06,011;07,0.25,0.25,0.0,0.19117647058823528,0.0,0.0,0.0,
Land type,20260813,20260810,64,extra_trees,dummy_majority,zscore_clip,02;04;05;08;09,010;06,011;07,0.25,0.25,0.0,0.19117647058823528,0.0,0.0,0.0,
Land type,20260813,20260810,64,extra_trees,dummy_majority,amplitude_jitter,02;04;05;08;09,010;06,011;07,0.25,0.25,0.0,0.19117647058823528,0.0,0.0,0.0,
Land type,20260813,20260810,64,extra_trees,dummy_majority,remove_top_band,02;04;05;08;09,010;06,011;07,0.25,0.25,0.0,0.19117647058823528,0.0,0.0,0.0,
Land type,20260813,20260810,64,extra_trees,dummy_majority,remove_bottom_band,02;04;05;08;09,010;06,011;07,0.25,0.25,0.0,0.19117647058823528,0.0,0.0,0.0,
Land type,20260813,20260810,64,extra_trees,dummy_majority,remove_border,02;04;05;08;09,010;06,011;07,0.25,0.25,0.0,0.19117647058823528,0.0,0.0,0.0,
Land type,20260813,20260810,64,extra_trees,dummy_majority,time_reverse,02;04;05;08;09,010;06,011;07,0.25,0.25,0.0,0.19117647058823528,0.0,0.0,0.0,
Land type,20260813,20260810,64,extra_trees,extra_trees,original,02;04;05;08;09,010;06,011;07,0.32575757575757575,0.3076923076923077,0.0,0.19444444444444442,0.0,0.0,0.0,
Land type,20260813,20260810,64,extra_trees,extra_trees,log_clip,02;04;05;08;09,010;06,011;07,0.32575757575757575,0.23076923076923078,-0.07692307692307693,0.1875,-0.00694444444444442,0.8095238095238095,0.0,
Land type,20260813,20260810,64,extra_trees,extra_trees,zscore_clip,02;04;05;08;09,010;06,011;07,0.32575757575757575,0.21153846153846154,-0.09615384615384617,0.171875,-0.02256944444444442,0.7619047619047619,0.0,
Land type,20260813,20260810,64,extra_trees,extra_trees,amplitude_jitter,02;04;05;08;09,010;06,011;07,0.32575757575757575,0.3076923076923077,0.0,0.19444444444444442,0.0,0.0,0.0,
Land type,20260813,20260810,64,extra_trees,extra_trees,remove_top_band,02;04;05;08;09,010;06,011;07,0.32575757575757575,0.1826923076923077,-0.125,0.1375,-0.05694444444444441,0.09523809523809523,0.0,
Land type,20260813,20260810,64,extra_trees,extra_trees,remove_bottom_band,02;04;05;08;09,010;06,011;07,0.32575757575757575,0.3076923076923077,0.0,0.19444444444444442,0.0,0.0,0.0,
Land type,20260813,20260810,64,extra_trees,extra_trees,remove_border,02;04;05;08;09,010;06,011;07,0.32575757575757575,0.3076923076923077,0.0,0.18859649122807015,-0.005847953216374269,0.047619047619047616,0.0,
Land type,20260813,20260810,64,extra_trees,extra_trees,time_reverse,02;04;05;08;09,010;06,011;07,0.32575757575757575,0.25,-0.05769230769230771,0.19117647058823528,-0.0032679738562091387,0.7619047619047619,0.0,
Land type,20260813,20260810,64,extra_trees,rbf_svm,original,02;04;05;08;09,010;06,011;07,0.29734848484848486,0.4375,0.0,0.423963133640553,0.0,0.0,0.0,
Land type,20260813,20260810,64,extra_trees,rbf_svm,log_clip,02;04;05;08;09,010;06,011;07,0.29734848484848486,0.25,-0.1875,0.19117647058823528,-0.2327866630523177,0.14285714285714285,0.0,
Land type,20260813,20260810,64,extra_trees,rbf_svm,zscore_clip,02;04;05;08;09,010;06,011;07,0.29734848484848486,0.23076923076923078,-0.20673076923076922,0.18181818181818182,-0.24214495182237117,0.19047619047619047,0.0,
Land type,20260813,20260810,64,extra_trees,rbf_svm,amplitude_jitter,02;04;05;08;09,010;06,011;07,0.29734848484848486,0.4375,0.0,0.423963133640553,0.0,0.0,0.0,
Land type,20260813,20260810,64,extra_trees,rbf_svm,remove_top_band,02;04;05;08;09,010;06,011;07,0.29734848484848486,0.3125,-0.125,0.296969696969697,-0.126993436670856,0.09523809523809523,0.0,
Land type,20260813,20260810,64,extra_trees,rbf_svm,remove_bottom_band,02;04;05;08;09,010;06,011;07,0.29734848484848486,0.4375,0.0,0.423963133640553,0.0,0.0,0.0,
Land type,20260813,20260810,64,extra_trees,rbf_svm,remove_border,02;04;05;08;09,010;06,011;07,0.29734848484848486,0.25,-0.1875,0.19117647058823528,-0.2327866630523177,0.14285714285714285,0.0,
Land type,20260813,20260810,64,extra_trees,rbf_svm,time_reverse,02;04;05;08;09,010;06,011;07,0.29734848484848486,0.25,-0.1875,0.19117647058823528,-0.2327866630523177,0.14285714285714285,0.0,
Land type,20260814,20260810,64,rbf_svm,dummy_majority,original,011;02;06;07;09,010;05,04;08,0.25,0.25,0.0,0.2037037037037037,0.0,0.0,0.0,
Land type,20260814,20260810,64,rbf_svm,dummy_majority,log_clip,011;02;06;07;09,010;05,04;08,0.25,0.25,0.0,0.2037037037037037,0.0,0.0,0.0,
Land type,20260814,20260810,64,rbf_svm,dummy_majority,zscore_clip,011;02;06;07;09,010;05,04;08,0.25,0.25,0.0,0.2037037037037037,0.0,0.0,0.0,
Land type,20260814,20260810,64,rbf_svm,dummy_majority,amplitude_jitter,011;02;06;07;09,010;05,04;08,0.25,0.25,0.0,0.2037037037037037,0.0,0.0,0.0,
Land type,20260814,20260810,64,rbf_svm,dummy_majority,remove_top_band,011;02;06;07;09,010;05,04;08,0.25,0.25,0.0,0.2037037037037037,0.0,0.0,0.0,
Land type,20260814,20260810,64,rbf_svm,dummy_majority,remove_bottom_band,011;02;06;07;09,010;05,04;08,0.25,0.25,0.0,0.2037037037037037,0.0,0.0,0.0,
Land type,20260814,20260810,64,rbf_svm,dummy_majority,remove_border,011;02;06;07;09,010;05,04;08,0.25,0.25,0.0,0.2037037037037037,0.0,0.0,0.0,
Land type,20260814,20260810,64,rbf_svm,dummy_majority,time_reverse,011;02;06;07;09,010;05,04;08,0.25,0.25,0.0,0.2037037037037037,0.0,0.0,0.0,
Land type,20260814,20260810,64,rbf_svm,extra_trees,original,011;02;06;07;09,010;05,04;08,0.296875,0.25,0.0,0.2037037037037037,0.0,0.0,0.0,
Land type,20260814,20260810,64,rbf_svm,extra_trees,log_clip,011;02;06;07;09,010;05,04;08,0.296875,0.20454545454545456,-0.04545454545454544,0.1956521739130435,-0.008051529790660206,0.25,0.0,
Land type,20260814,20260810,64,rbf_svm,extra_trees,zscore_clip,011;02;06;07;09,010;05,04;08,0.296875,0.25,0.0,0.2037037037037037,0.0,0.0,0.0,
Land type,20260814,20260810,64,rbf_svm,extra_trees,amplitude_jitter,011;02;06;07;09,010;05,04;08,0.296875,0.25,0.0,0.2037037037037037,0.0,0.0,0.0,
Land type,20260814,20260810,64,rbf_svm,extra_trees,remove_top_band,011;02;06;07;09,010;05,04;08,0.296875,0.25,0.0,0.2037037037037037,0.0,0.0,0.0,
Land type,20260814,20260810,64,rbf_svm,extra_trees,remove_bottom_band,011;02;06;07;09,010;05,04;08,0.296875,0.25,0.0,0.2037037037037037,0.0,0.0,0.0,
Land type,20260814,20260810,64,rbf_svm,extra_trees,remove_border,011;02;06;07;09,010;05,04;08,0.296875,0.25,0.0,0.2037037037037037,0.0,0.0,0.0,
Land type,20260814,20260810,64,rbf_svm,extra_trees,time_reverse,011;02;06;07;09,010;05,04;08,0.296875,0.25,0.0,0.2037037037037037,0.0,0.0,0.0,
Land type,20260814,20260810,64,rbf_svm,rbf_svm,original,011;02;06;07;09,010;05,04;08,0.328125,0.25,0.0,0.2037037037037037,0.0,0.0,0.0,
Land type,20260814,20260810,64,rbf_svm,rbf_svm,log_clip,011;02;06;07;09,010;05,04;08,0.328125,0.25,0.0,0.2037037037037037,0.0,0.0,0.0,
Land type,20260814,20260810,64,rbf_svm,rbf_svm,zscore_clip,011;02;06;07;09,010;05,04;08,0.328125,0.25,0.0,0.2037037037037037,0.0,0.0,0.0,
Land type,20260814,20260810,64,rbf_svm,rbf_svm,amplitude_jitter,011;02;06;07;09,010;05,04;08,0.328125,0.25,0.0,0.2037037037037037,0.0,0.0,0.0,
Land type,20260814,20260810,64,rbf_svm,rbf_svm,remove_top_band,011;02;06;07;09,010;05,04;08,0.328125,0.25,0.0,0.2037037037037037,0.0,0.0,0.0,
Land type,20260814,20260810,64,rbf_svm,rbf_svm,remove_bottom_band,011;02;06;07;09,010;05,04;08,0.328125,0.25,0.0,0.2037037037037037,0.0,0.0,0.0,
Land type,20260814,20260810,64,rbf_svm,rbf_svm,remove_border,011;02;06;07;09,010;05,04;08,0.328125,0.25,0.0,0.2037037037037037,0.0,0.0,0.0,
Land type,20260814,20260810,64,rbf_svm,rbf_svm,time_reverse,011;02;06;07;09,010;05,04;08,0.328125,0.25,0.0,0.2037037037037037,0.0,0.0,0.0,
