best_epoch,grl_lambda,protocol,seed,test_domain_balanced_accuracy,test_n,test_target_balanced_accuracy,test_target_macro_f1,train_n,val_domain_balanced_accuracy,val_n,val_target_balanced_accuracy,val_target_macro_f1
81,0.1,current_fold0_test_fold1_val,20260814,0.630595519130551,586,0.7356439767368993,0.7330971305117336,1512,0.6992757242757243,426,0.7643527204502814,0.7553369073161416
42,0.5,current_fold0_test_fold1_val,20260814,0.6136697697207252,586,0.7203393554500921,0.7201578129267605,1512,0.6988261738261738,426,0.7557212096846243,0.745388280857065
23,1.0,current_fold0_test_fold1_val,20260814,0.6472911377369976,586,0.7486425399882308,0.746032746061556,1512,0.6909090909090909,426,0.7463738497275082,0.7447883432136596
2,0.0,task_aware_fold0_test_fold3_val,20260810,0.6542024854126764,586,0.7392033687170905,0.7396136853844534,1489,0.7049135202092031,449,0.7549176341549223,0.7555968307805504
2,0.1,task_aware_fold0_test_fold3_val,20260810,0.6625094650572358,586,0.7355608669402601,0.7360023648763541,1489,0.6853695462678351,449,0.7563404110014279,0.7568993706465991
2,0.5,task_aware_fold0_test_fold3_val,20260810,0.6382640713850904,586,0.7416240609548265,0.7415694572858328,1489,0.6777538193329358,449,0.7550185219676745,0.7557082396950134
2,1.0,task_aware_fold0_test_fold3_val,20260810,0.624819978323163,586,0.7342167809187549,0.7344627594627595,1489,0.6633596366472451,449,0.7520125825210572,0.7520278940710003
3,0.0,task_aware_fold0_test_fold3_val,20260811,0.6389024987751102,586,0.7710735875155712,0.7668812691456511,1489,0.6981350644584117,449,0.7637802404751558,0.7653674046161093
3,0.1,task_aware_fold0_test_fold3_val,20260811,0.6409217109854053,586,0.7695374892052792,0.7653118169806231,1489,0.6916204064779556,449,0.7605751122700276,0.7617313621225
3,0.5,task_aware_fold0_test_fold3_val,20260811,0.6555164580642288,586,0.7731799909821095,0.7692521577792811,1489,0.6731316236179291,449,0.7573699840648992,0.7580685952615971
3,1.0,task_aware_fold0_test_fold3_val,20260811,0.6350793580092944,586,0.7735057431735332,0.7700021305853676,1489,0.6617309721521311,449,0.7585909852859004,0.7595953988441035
11,0.0,task_aware_fold0_test_fold3_val,20260812,0.64055795584458,586,0.7870201603350376,0.7870926406138635,1489,0.6988461714914896,449,0.7616305540034354,0.7627287803407207
11,0.1,task_aware_fold0_test_fold3_val,20260812,0.6376033732721631,586,0.7837034107496312,0.7837938875906092,1489,0.7010024315272745,449,0.7585237267440657,0.7590125756012659
5,0.5,task_aware_fold0_test_fold3_val,20260812,0.6151322138583285,586,0.7682268381594333,0.7676810010679249,1489,0.7022755425058493,449,0.7524730448459263,0.7532313156857381
5,1.0,task_aware_fold0_test_fold3_val,20260812,0.5565750597597732,586,0.7579021176758299,0.7572035806931284,1489,0.630052300775336,449,0.7451780799238427,0.7409587972462224
4,0.0,task_aware_fold0_test_fold3_val,20260813,0.6290514156756195,586,0.772479767063301,0.7721010478318732,1489,0.6985823737211543,449,0.7644761076964466,0.7641994229531321
4,0.1,task_aware_fold0_test_fold3_val,20260813,0.620662776713732,586,0.768522976515273,0.7684797814307528,1489,0.708090562921503,449,0.7593877403199437,0.7590795529257068
3,0.5,task_aware_fold0_test_fold3_val,20260813,0.6224370109720427,586,0.7579919144676005,0.7570487795260066,1489,0.6897738220856081,449,0.7460032904948158,0.7453099316560178
4,1.0,task_aware_fold0_test_fold3_val,20260813,0.562254094101228,586,0.7623671198538796,0.7619902359803477,1489,0.5609028765426435,449,0.7582650400447011,0.7574665483847122
2,0.0,task_aware_fold0_test_fold3_val,20260814,0.6291182278443425,586,0.7575668126342175,0.7577600928977141,1489,0.7047414781850714,449,0.7529179859688334,0.7514385711754134
10,0.1,task_aware_fold0_test_fold3_val,20260814,0.6658723442162933,586,0.7846176185126593,0.7842013602449174,1489,0.7356402257191357,449,0.7498318536454129,0.7507722007722007
7,0.5,task_aware_fold0_test_fold3_val,20260814,0.6017029679450061,586,0.7810161939916394,0.7804007605675003,1489,0.6716864706152224,449,0.7504889178617993,0.7508313191240021
5,1.0,task_aware_fold0_test_fold3_val,20260814,0.5592178522114828,586,0.7727434257285003,0.769951811678367,1489,0.6633711061155205,449,0.7483107758531488,0.749658460202293
