target_field,records,image_size,selected_model,model,variant,val_balanced_accuracy,test_balanced_accuracy,balanced_accuracy_delta_vs_original,test_macro_f1,macro_f1_delta_vs_original,prediction_flip_rate_vs_original,n_predicted_classes_not_in_test,predicted_classes_not_in_test
Land cover,93,64,rbf_svm,dummy_majority,time_reverse,0.3333333333333333,0.3333333333333333,0.0,0.16666666666666666,0.0,0.0,0.0,
Land cover,93,64,rbf_svm,extra_trees,original,0.3333333333333333,0.3333333333333333,0.0,0.12345679012345678,0.0,0.0,0.0,
Land cover,93,64,rbf_svm,extra_trees,log_clip,0.3333333333333333,0.3416666666666666,0.008333333333333304,0.31393298059964725,0.19047619047619047,0.8333333333333334,0.0,
Land cover,93,64,rbf_svm,extra_trees,zscore_clip,0.3333333333333333,0.3333333333333333,0.0,0.12345679012345678,0.0,0.0,0.0,
Land cover,93,64,rbf_svm,extra_trees,amplitude_jitter,0.3333333333333333,0.3333333333333333,0.0,0.12345679012345678,0.0,0.0,0.0,
Land cover,93,64,rbf_svm,extra_trees,remove_top_band,0.3333333333333333,0.3333333333333333,0.0,0.1149425287356322,-0.008514261387824587,0.08333333333333333,0.0,
Land cover,93,64,rbf_svm,extra_trees,remove_bottom_band,0.3333333333333333,0.3333333333333333,0.0,0.12345679012345678,0.0,0.0,0.0,
Land cover,93,64,rbf_svm,extra_trees,remove_border,0.3333333333333333,0.3333333333333333,0.0,0.11904761904761905,-0.004409171075837728,0.041666666666666664,0.0,
Land cover,93,64,rbf_svm,extra_trees,time_reverse,0.3333333333333333,0.3333333333333333,0.0,0.1149425287356322,-0.008514261387824587,0.08333333333333333,0.0,
Land cover,93,64,rbf_svm,rbf_svm,original,0.4166666666666667,0.3333333333333333,0.0,0.12345679012345678,0.0,0.0,0.0,
Land cover,93,64,rbf_svm,rbf_svm,log_clip,0.4166666666666667,0.3333333333333333,0.0,0.16666666666666666,0.043209876543209874,1.0,0.0,
Land cover,93,64,rbf_svm,rbf_svm,zscore_clip,0.4166666666666667,0.3333333333333333,0.0,0.12345679012345678,0.0,0.0,0.0,
Land cover,93,64,rbf_svm,rbf_svm,amplitude_jitter,0.4166666666666667,0.3333333333333333,0.0,0.12345679012345678,0.0,0.0,0.0,
Land cover,93,64,rbf_svm,rbf_svm,remove_top_band,0.4166666666666667,0.3636363636363636,0.030303030303030276,0.17582417582417584,0.052367385700719055,0.041666666666666664,0.0,
Land cover,93,64,rbf_svm,rbf_svm,remove_bottom_band,0.4166666666666667,0.3333333333333333,0.0,0.12345679012345678,0.0,0.0,0.0,
Land cover,93,64,rbf_svm,rbf_svm,remove_border,0.4166666666666667,0.393939393939394,0.06060606060606066,0.22344322344322345,0.09998643331976667,0.125,0.0,
Land cover,93,64,rbf_svm,rbf_svm,time_reverse,0.4166666666666667,0.3333333333333333,0.0,0.16666666666666666,0.043209876543209874,1.0,0.0,
Utility crossing,84,64,dummy_majority,dummy_majority,original,0.5,0.5,0.0,0.4878048780487805,0.0,0.0,0.0,
Utility crossing,84,64,dummy_majority,dummy_majority,log_clip,0.5,0.5,0.0,0.4878048780487805,0.0,0.0,0.0,
Utility crossing,84,64,dummy_majority,dummy_majority,zscore_clip,0.5,0.5,0.0,0.4878048780487805,0.0,0.0,0.0,
Utility crossing,84,64,dummy_majority,dummy_majority,amplitude_jitter,0.5,0.5,0.0,0.4878048780487805,0.0,0.0,0.0,
Utility crossing,84,64,dummy_majority,dummy_majority,remove_top_band,0.5,0.5,0.0,0.4878048780487805,0.0,0.0,0.0,
Utility crossing,84,64,dummy_majority,dummy_majority,remove_bottom_band,0.5,0.5,0.0,0.4878048780487805,0.0,0.0,0.0,
Utility crossing,84,64,dummy_majority,dummy_majority,remove_border,0.5,0.5,0.0,0.4878048780487805,0.0,0.0,0.0,
Utility crossing,84,64,dummy_majority,dummy_majority,time_reverse,0.5,0.5,0.0,0.4878048780487805,0.0,0.0,0.0,
Utility crossing,84,64,dummy_majority,extra_trees,original,0.5,0.5,0.0,0.4878048780487805,0.0,0.0,0.0,
Utility crossing,84,64,dummy_majority,extra_trees,log_clip,0.5,0.5,0.0,0.4878048780487805,0.0,0.0,0.0,
Utility crossing,84,64,dummy_majority,extra_trees,zscore_clip,0.5,0.5,0.0,0.4878048780487805,0.0,0.0,0.0,
Utility crossing,84,64,dummy_majority,extra_trees,amplitude_jitter,0.5,0.5,0.0,0.4878048780487805,0.0,0.0,0.0,
Utility crossing,84,64,dummy_majority,extra_trees,remove_top_band,0.5,0.5,0.0,0.4878048780487805,0.0,0.0,0.0,
Utility crossing,84,64,dummy_majority,extra_trees,remove_bottom_band,0.5,0.5,0.0,0.4878048780487805,0.0,0.0,0.0,
Utility crossing,84,64,dummy_majority,extra_trees,remove_border,0.5,0.5,0.0,0.4878048780487805,0.0,0.0,0.0,
Utility crossing,84,64,dummy_majority,extra_trees,time_reverse,0.5,0.5,0.0,0.4878048780487805,0.0,0.0,0.0,
Utility crossing,84,64,dummy_majority,rbf_svm,original,0.39285714285714285,0.75,0.0,0.41666666666666663,0.0,0.0,0.0,
Utility crossing,84,64,dummy_majority,rbf_svm,log_clip,0.39285714285714285,0.5,-0.25,0.4878048780487805,0.07113821138211385,0.5238095238095238,0.0,
Utility crossing,84,64,dummy_majority,rbf_svm,zscore_clip,0.39285714285714285,0.775,0.025000000000000022,0.4457478005865103,0.029081133919843682,0.047619047619047616,0.0,
Utility crossing,84,64,dummy_majority,rbf_svm,amplitude_jitter,0.39285714285714285,0.75,0.0,0.41666666666666663,0.0,0.0,0.0,
Utility crossing,84,64,dummy_majority,rbf_svm,remove_top_band,0.39285714285714285,0.3,-0.45,0.36363636363636365,-0.05303030303030298,0.14285714285714285,0.0,
Utility crossing,84,64,dummy_majority,rbf_svm,remove_bottom_band,0.39285714285714285,0.75,0.0,0.41666666666666663,0.0,0.0,0.0,
Utility crossing,84,64,dummy_majority,rbf_svm,remove_border,0.39285714285714285,0.775,0.025000000000000022,0.4457478005865103,0.029081133919843682,0.047619047619047616,0.0,
Utility crossing,84,64,dummy_majority,rbf_svm,time_reverse,0.39285714285714285,0.5,-0.25,0.4878048780487805,0.07113821138211385,0.5238095238095238,0.0,
Construction workers,93,64,dummy_majority,dummy_majority,original,0.5,0.5,0.0,0.3684210526315789,0.0,0.0,0.0,
Construction workers,93,64,dummy_majority,dummy_majority,log_clip,0.5,0.5,0.0,0.3684210526315789,0.0,0.0,0.0,
Construction workers,93,64,dummy_majority,dummy_majority,zscore_clip,0.5,0.5,0.0,0.3684210526315789,0.0,0.0,0.0,
Construction workers,93,64,dummy_majority,dummy_majority,amplitude_jitter,0.5,0.5,0.0,0.3684210526315789,0.0,0.0,0.0,
Construction workers,93,64,dummy_majority,dummy_majority,remove_top_band,0.5,0.5,0.0,0.3684210526315789,0.0,0.0,0.0,
Construction workers,93,64,dummy_majority,dummy_majority,remove_bottom_band,0.5,0.5,0.0,0.3684210526315789,0.0,0.0,0.0,
Construction workers,93,64,dummy_majority,dummy_majority,remove_border,0.5,0.5,0.0,0.3684210526315789,0.0,0.0,0.0,
Construction workers,93,64,dummy_majority,dummy_majority,time_reverse,0.5,0.5,0.0,0.3684210526315789,0.0,0.0,0.0,
Construction workers,93,64,dummy_majority,extra_trees,original,0.14285714285714285,0.17857142857142858,0.0,0.15873015873015872,0.0,0.0,1.0,None
Construction workers,93,64,dummy_majority,extra_trees,log_clip,0.14285714285714285,0.42857142857142855,0.24999999999999997,0.2222222222222222,0.06349206349206349,0.625,1.0,None
Construction workers,93,64,dummy_majority,extra_trees,zscore_clip,0.14285714285714285,0.17857142857142858,0.0,0.15873015873015872,0.0,0.0,1.0,None
Construction workers,93,64,dummy_majority,extra_trees,amplitude_jitter,0.14285714285714285,0.17857142857142858,0.0,0.15873015873015872,0.0,0.0,1.0,None
Construction workers,93,64,dummy_majority,extra_trees,remove_top_band,0.14285714285714285,0.17857142857142858,0.0,0.15873015873015872,0.0,0.0,1.0,None
Construction workers,93,64,dummy_majority,extra_trees,remove_bottom_band,0.14285714285714285,0.17857142857142858,0.0,0.15873015873015872,0.0,0.0,1.0,None
Construction workers,93,64,dummy_majority,extra_trees,remove_border,0.14285714285714285,0.14285714285714285,-0.035714285714285726,0.14035087719298245,-0.018379281537176273,0.08333333333333333,1.0,None
Construction workers,93,64,dummy_majority,extra_trees,time_reverse,0.14285714285714285,0.5,0.3214285714285714,0.3684210526315789,0.2096908939014202,0.7083333333333334,0.0,
Construction workers,93,64,dummy_majority,rbf_svm,original,0.2857142857142857,0.17857142857142858,0.0,0.1388888888888889,0.0,0.0,1.0,None
Construction workers,93,64,dummy_majority,rbf_svm,log_clip,0.2857142857142857,0.5,0.3214285714285714,0.3684210526315789,0.22953216374269003,0.5833333333333334,0.0,
Construction workers,93,64,dummy_majority,rbf_svm,zscore_clip,0.2857142857142857,0.17857142857142858,0.0,0.1388888888888889,0.0,0.0,1.0,None
Construction workers,93,64,dummy_majority,rbf_svm,amplitude_jitter,0.2857142857142857,0.17857142857142858,0.0,0.1388888888888889,0.0,0.0,1.0,None
Construction workers,93,64,dummy_majority,rbf_svm,remove_top_band,0.2857142857142857,0.17857142857142858,0.0,0.1388888888888889,0.0,0.0,1.0,None
Construction workers,93,64,dummy_majority,rbf_svm,remove_bottom_band,0.2857142857142857,0.17857142857142858,0.0,0.1388888888888889,0.0,0.0,1.0,None
Construction workers,93,64,dummy_majority,rbf_svm,remove_border,0.2857142857142857,0.17857142857142858,0.0,0.13333333333333333,-0.005555555555555564,0.041666666666666664,1.0,None
Construction workers,93,64,dummy_majority,rbf_svm,time_reverse,0.2857142857142857,0.5,0.3214285714285714,0.3684210526315789,0.22953216374269003,0.5833333333333334,0.0,
