target_field,records,feature,image_size,epochs,seed,model,best_epoch,variant,val_balanced_accuracy,test_balanced_accuracy,balanced_accuracy_delta_vs_original,test_macro_f1,macro_f1_delta_vs_original,prediction_flip_rate_vs_original,n_predicted_classes_not_in_test,predicted_classes_not_in_test
Land type,93,cnn_pixels,64,40,20260811,small_cnn,19,remove_top_band,0.4375,0.19999999999999998,-5.551115123125783e-17,0.07894736842105263,-0.041423001949317736,0.20833333333333334,1,3
Land type,93,cnn_pixels,64,40,20260811,small_cnn,19,remove_bottom_band,0.4375,0.20000000000000004,0.0,0.12037037037037036,0.0,0.0,0,
Land type,93,cnn_pixels,64,40,20260811,small_cnn,19,remove_border,0.4375,0.20000000000000004,0.0,0.0900735294117647,-0.03029684095860566,0.08333333333333333,1,3
Land type,93,cnn_pixels,64,40,20260811,small_cnn,19,time_reverse,0.4375,0.3333333333333333,0.13333333333333328,0.1149425287356322,-0.0054278416347381675,0.4583333333333333,0,
Land type,93,cnn_pixels,64,40,20260812,small_cnn,40,original,0.5,0.3333333333333333,0.0,0.13157894736842105,0.0,0.0,1,3
Land type,93,cnn_pixels,64,40,20260812,small_cnn,40,log_clip,0.5,0.0,-0.3333333333333333,0.0,-0.13157894736842105,0.875,1,3
Land type,93,cnn_pixels,64,40,20260812,small_cnn,40,zscore_clip,0.5,0.3333333333333333,0.0,0.10869565217391304,-0.022883295194508005,0.3333333333333333,1,3
Land type,93,cnn_pixels,64,40,20260812,small_cnn,40,amplitude_jitter,0.5,0.3333333333333333,0.0,0.13157894736842105,0.0,0.0,1,3
Land type,93,cnn_pixels,64,40,20260812,small_cnn,40,remove_top_band,0.5,0.3333333333333333,0.0,0.16666666666666666,0.03508771929824561,0.20833333333333334,1,3
Land type,93,cnn_pixels,64,40,20260812,small_cnn,40,remove_bottom_band,0.5,0.3333333333333333,0.0,0.13157894736842105,0.0,0.0,1,3
Land type,93,cnn_pixels,64,40,20260812,small_cnn,40,remove_border,0.5,0.38095238095238093,0.047619047619047616,0.19407894736842105,0.0625,0.2916666666666667,1,3
Land type,93,cnn_pixels,64,40,20260812,small_cnn,40,time_reverse,0.5,0.3333333333333333,0.0,0.24561403508771928,0.11403508771929824,1.0,0,
Land type,93,cnn_pixels,64,40,20260813,small_cnn,37,original,0.4375,0.13333333333333333,0.0,0.06666666666666667,0.0,0.0,0,
Land type,93,cnn_pixels,64,40,20260813,small_cnn,37,log_clip,0.4375,0.047619047619047616,-0.08571428571428572,0.0625,-0.004166666666666666,1.0,1,3
Land type,93,cnn_pixels,64,40,20260813,small_cnn,37,zscore_clip,0.4375,0.3333333333333333,0.19999999999999998,0.08928571428571429,0.022619047619047622,0.4166666666666667,1,3
Land type,93,cnn_pixels,64,40,20260813,small_cnn,37,amplitude_jitter,0.4375,0.13333333333333333,0.0,0.06666666666666667,0.0,0.0,0,
Land type,93,cnn_pixels,64,40,20260813,small_cnn,37,remove_top_band,0.4375,0.26666666666666666,0.13333333333333333,0.1590643274853801,0.09239766081871344,0.20833333333333334,0,
Land type,93,cnn_pixels,64,40,20260813,small_cnn,37,remove_bottom_band,0.4375,0.13333333333333333,0.0,0.06666666666666667,0.0,0.0,0,
Land type,93,cnn_pixels,64,40,20260813,small_cnn,37,remove_border,0.4375,0.13333333333333333,0.0,0.057971014492753624,-0.008695652173913042,0.125,0,
Land type,93,cnn_pixels,64,40,20260813,small_cnn,37,time_reverse,0.4375,0.3333333333333333,0.19999999999999998,0.1149425287356322,0.04827586206896553,0.625,0,
Land type,93,cnn_pixels,64,40,20260814,small_cnn,4,original,0.3125,0.023809523809523808,0.0,0.03125,0.0,0.0,1,3
Land type,93,cnn_pixels,64,40,20260814,small_cnn,4,log_clip,0.3125,0.3333333333333333,0.30952380952380953,0.1149425287356322,0.0836925287356322,0.4166666666666667,0,
Land type,93,cnn_pixels,64,40,20260814,small_cnn,4,zscore_clip,0.3125,0.3333333333333333,0.30952380952380953,0.1149425287356322,0.0836925287356322,0.4166666666666667,0,
Land type,93,cnn_pixels,64,40,20260814,small_cnn,4,amplitude_jitter,0.3125,0.023809523809523808,0.0,0.03125,0.0,0.0,1,3
Land type,93,cnn_pixels,64,40,20260814,small_cnn,4,remove_top_band,0.3125,0.4047619047619047,0.38095238095238093,0.19240196078431374,0.16115196078431374,0.5416666666666666,1,3
Land type,93,cnn_pixels,64,40,20260814,small_cnn,4,remove_bottom_band,0.3125,0.023809523809523808,0.0,0.03125,0.0,0.0,1,3
Land type,93,cnn_pixels,64,40,20260814,small_cnn,4,remove_border,0.3125,0.11904761904761905,0.09523809523809525,0.125,0.09375,0.4583333333333333,1,3
Land type,93,cnn_pixels,64,40,20260814,small_cnn,4,time_reverse,0.3125,0.0,-0.023809523809523808,0.0,-0.03125,0.7916666666666666,1,3
